0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,06/03/2013,Afghanistan,Sharjah Cricket Stadium,44,44,44.00,0/9,0,,1,1,,,,22 years 19 days
2.0,08/03/2013,Afghanistan,Sharjah Cricket Stadium,11,55,27.50,1/29,1,38.00,,1,,,,22 years 21 days
3.0,17/05/2013,Pakistan,Grange Cricket Club,11,66,22.00,1/50,2,44.00,,1,,,,22 years 91 days
4.0,30/06/2013,Kenya,Mannofield Park,114,180,45.00,3/31,5,23.80,,1,,,,22 years 135 days
5.0,02/07/2013,Kenya,Mannofield Park,20,200,40.00,1/15,6,22.33,,1,,,,22 years 137 days
6.0,03/09/2013,Australia,Grange Cricket Club,39,239,39.83,0/52,6,31.00,,1,,,,22 years 200 days
7.0,06/09/2013,Ireland,Civil Service Cricket Club,27,266,38.00,1/15,7,28.71,1,2,,,,22 years 203 days
8.0,08/09/2013,Ireland,Civil Service Cricket Club,23,289,36.13,0/9,7,30.00,,2,,,,22 years 205 days
9.0,23/01/2014,Canada,Hagley Oval,68,357,39.67,0/10,7,31.43,,2,,,,22 years 342 days
10.0,30/01/2014,Kenya,Hagley Oval,13,370,37.00,1/30,8,31.25,,2,,,,22 years 349 days
11.0,01/02/2014,United Arab Emirates,Bert Sutcliffe Oval,22,392,35.64,0/20,8,33.75,1,3,,,,22 years 351 days
12.0,09/05/2014,England,Mannofield Park,33,425,35.42,0/6,8,34.50,,3,,,,23 years 83 days
13.0,08/01/2015,Afghanistan,ICC Global Cricket Academy,24,449,34.54,,8,34.50,,3,,,,23 years 327 days
14.0,12/01/2015,Ireland,Dubai International Cricket Stadium,86,535,38.21,0/6,8,35.25,,3,,,,23 years 331 days
15.0,14/01/2015,Afghanistan,Sheikh Zayed Stadium,13,548,36.53,,8,35.25,,3,,,,23 years 333 days
16.0,19/01/2015,Ireland,ICC Global Cricket Academy,-,548,36.53,,8,35.25,,3,,,,23 years 338 days
17.0,17/02/2015,New Zealand,University Oval,56,604,37.75,,8,35.25,,3,,,,24 years 2 days
18.0,23/02/2015,England,Hagley Oval,5,609,35.82,0/11,8,36.63,,3,,,,24 years 8 days
19.0,26/02/2015,Afghanistan,University Oval,31,640,35.56,,8,36.63,1,4,,,,24 years 11 days
20.0,04/03/2015,Bangladesh,Saxton Oval,35,675,35.53,0/45,8,42.25,,4,,,,24 years 17 days
21.0,11/03/2015,Sri Lanka,Bellerive Oval,19,694,34.70,1/46,9,42.67,,4,,,,24 years 24 days
22.0,14/03/2015,Australia,Bellerive Oval,40,734,34.95,,9,42.67,,4,,,,24 years 27 days
23.0,26/01/2016,Hong Kong,Mission Road,0,734,33.36,,9,42.67,,4,,,,24 years 345 days
