0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,27/06/2006,Pakistan,Grange Cricket Club,68,68,68.00,,0,,,0,,,,28 years 217 days
2.0,05/08/2006,Ireland,Cambusdoon New Ground,7,75,37.50,,0,,,0,,,,28 years 256 days
3.0,06/08/2006,Netherlands,Cambusdoon New Ground,31,106,35.33,,0,,,0,,,,28 years 257 days
4.0,15/12/2006,Bangladesh,Zahur Ahmed Chowdhury Stadium,0,106,26.50,,0,,,0,,,,29 years 22 days
5.0,17/12/2006,Bangladesh,Shere Bangla National Stadium,23,129,25.80,,0,,,0,,,,29 years 24 days
6.0,17/01/2007,Kenya,Mombasa Sports Ground,10,139,23.17,,0,,,0,,,,29 years 55 days
7.0,21/01/2007,Kenya,Mombasa Sports Ground,27,166,23.71,,0,,,0,,,,29 years 59 days
8.0,23/01/2007,Canada,Mombasa Sports Ground,12,178,22.25,,0,,,0,,,,29 years 61 days
9.0,30/01/2007,Ireland,Gymkhana Club Ground,100,278,30.89,,0,,,0,,,,29 years 68 days
10.0,31/01/2007,Canada,Ruaraka Sports Club Ground,6,284,28.40,,0,,,0,,,,29 years 69 days
11.0,02/02/2007,Netherlands,Jaffrey Sports Club Ground,0,284,25.82,,0,,1,1,,,,29 years 71 days
12.0,04/02/2007,Kenya,Gymkhana Club Ground,2,286,23.83,,0,,1,2,,,,29 years 73 days
13.0,05/02/2007,Bermuda,Ruaraka Sports Club Ground,21,307,23.62,,0,,,2,,,,29 years 74 days
14.0,07/02/2007,Kenya,Gymkhana Club Ground,0,307,21.93,,0,,,2,,,,29 years 76 days
15.0,20/03/2007,South Africa,Warner Park,1,308,20.53,,0,,1,3,,,,29 years 117 days
16.0,22/03/2007,Netherlands,Warner Park,24,332,20.75,,0,,,3,,,,29 years 119 days
17.0,12/07/2007,West Indies,Castle Avenue,27,359,21.12,,0,,,3,,,,29 years 231 days
18.0,13/07/2007,Netherlands,Civil Service Cricket Club,11,370,20.56,,0,,,3,,,,29 years 232 days
19.0,15/07/2007,Ireland,Civil Service Cricket Club,54,424,22.32,,0,,,3,,,,29 years 234 days
20.0,16/08/2007,India,Titwood,41,465,23.25,,0,,1,4,,,,29 years 266 days
21.0,02/07/2008,Ireland,Mannofield Park,0*,465,23.25,,0,,,4,,,,30 years 222 days
22.0,03/07/2008,New Zealand,Mannofield Park,2,467,22.24,,0,,,4,,,,30 years 223 days
23.0,29/07/2008,Netherlands,Castle Avenue,12*,479,22.81,,0,,,4,,,,30 years 249 days
24.0,31/07/2008,Ireland,Castle Avenue,1,480,21.82,,0,,,4,,,,30 years 251 days
25.0,12/08/2008,Kenya,Cambusdoon New Ground,-,480,21.82,,0,,,4,,,,30 years 263 days
26.0,18/08/2008,England,Grange Cricket Club,2,482,20.96,,0,,,4,,,,30 years 269 days
27.0,01/04/2009,Ireland,Willowmoore Park,121*,603,26.22,,0,,,4,,,,31 years 130 days
28.0,08/04/2009,Canada,Willowmoore Park,1,604,25.17,,0,,,4,,,,31 years 137 days
29.0,19/04/2009,Afghanistan,Willowmoore Park,36,640,25.60,,0,,,4,,,,31 years 148 days
30.0,07/07/2009,Canada,Mannofield Park,15*,655,26.20,,0,,,4,,,,31 years 227 days
31.0,08/07/2009,Canada,Mannofield Park,79*,734,29.36,,0,,2,6,,,,31 years 228 days
32.0,22/08/2009,Ireland,Mannofield Park,6,740,28.46,,0,,,6,,,,31 years 273 days
33.0,28/08/2009,Australia,Grange Cricket Club,24,764,28.30,,0,,1,7,,,,31 years 279 days
34.0,15/06/2010,Netherlands,Hazelaarweg,11,775,27.68,,0,,1,8,,,,32 years 205 days
35.0,19/06/2010,England,Grange Cricket Club,22,797,27.48,,0,,1,9,,,,32 years 209 days
36.0,01/07/2010,Netherlands,VRA Ground,10,807,26.90,,0,,2,11,,,,32 years 221 days
37.0,03/07/2010,Canada,VRA Ground,89*,896,29.87,,0,,,11,,,,32 years 223 days
38.0,05/07/2010,Ireland,Sportpark Westvliet,49,945,30.48,,0,,,11,,,,32 years 225 days
39.0,07/07/2010,Kenya,Hazelaarweg,6,951,29.72,,0,,,11,,,,32 years 227 days
40.0,09/07/2010,Afghanistan,Hazelaarweg,19,970,29.39,,0,,1,12,,,,32 years 229 days
41.0,10/07/2010,Ireland,VRA Ground,7,977,28.74,,0,,,12,,,,32 years 230 days
42.0,28/06/2011,Netherlands,Mannofield Park,6,983,28.09,,0,,1,13,,,,33 years 217 days
43.0,29/06/2011,Netherlands,Mannofield Park,19,1002,27.83,,0,,,13,,,,33 years 218 days
