0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,15/12/2006,Bangladesh,Zahur Ahmed Chowdhury Stadium,20,20,20.00,1/28,1,28.00,,0,,,,29 years 246 days
2.0,17/12/2006,Bangladesh,Shere Bangla National Stadium,20*,40,40.00,1/38,2,33.00,1,1,,,,29 years 248 days
3.0,21/01/2007,Kenya,Mombasa Sports Ground,1,41,20.50,0/55,2,60.50,,1,,,,29 years 283 days
4.0,23/01/2007,Canada,Mombasa Sports Ground,4*,45,22.50,2/22,4,35.75,,1,,,,29 years 285 days
5.0,14/03/2007,Australia,Warner Park,6,51,17.00,1/52,5,39.00,,1,,,,29 years 335 days
6.0,20/03/2007,South Africa,Warner Park,-,51,17.00,1/47,6,40.33,1,2,,,,29 years 341 days
7.0,22/03/2007,Netherlands,Warner Park,26,77,19.25,0/15,6,42.83,,2,,,,29 years 343 days
8.0,12/07/2007,West Indies,Castle Avenue,-,77,19.25,0/26,6,47.17,,2,,,,30 years 90 days
9.0,13/07/2007,Netherlands,Civil Service Cricket Club,-,77,19.25,,6,47.17,,2,,,,30 years 91 days
10.0,15/07/2007,Ireland,Civil Service Cricket Club,4*,81,20.25,0/53,6,56.00,,2,,,,30 years 93 days
11.0,02/07/2008,Ireland,Mannofield Park,-,81,20.25,0/49,6,64.17,,2,,,,31 years 81 days
12.0,03/07/2008,New Zealand,Mannofield Park,0,81,16.20,,6,64.17,,2,,,,31 years 82 days
13.0,29/07/2008,Netherlands,Castle Avenue,-,81,16.20,2/24,8,51.13,,2,,,,31 years 108 days
