0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,29/06/2011,Netherlands,Mannofield Park,Mudassar Bukhari (c G Goudie),8.0,4/27,,12.00,3.38,1,6.75
,,,,W Barresi (c K J Coetzer),,,,,,2,
,,,,M R Swart (lbw),,,,,,3,
,,,,V A B Tewarie (c †G I Maiden),,,,,,4,
2.0,12/07/2011,Ireland,Grange Cricket Club,A R Cusack (c G Goudie),7.0,1/44,,18.00,4.73,5,14.20
3.0,13/07/2011,Sri Lanka,Grange Cricket Club,,5.0,0/48,,24.00,5.95,,23.80
4.0,06/03/2013,Afghanistan,Sharjah Cricket Stadium,,7.0,0/33,,32.40,5.63,,30.40
5.0,06/09/2013,Ireland,Civil Service Cricket Club,E J Richardson (c M W Machan),10.0,1/49,,37.00,5.43,6,33.50
6.0,08/09/2013,Ireland,Civil Service Cricket Club,,7.0,0/38,,44.00,5.43,,39.83
7.0,23/01/2014,Canada,Hagley Oval,Khurram Chohan (lbw),8.2,2/23,,39.25,5.01,7,32.75
,,,,Hamza Tariq (c †M H Cross),,,,,,8,
8.0,30/01/2014,Kenya,Hagley Oval,T M Odoyo (c †M H Cross),10.0,2/65,,37.40,5.25,9,32.70
,,,,C O Obuya (c R M L Taylor),,,,,,10,
9.0,01/02/2014,United Arab Emirates,Bert Sutcliffe Oval,Khurram Khan (c & b),10.0,3/41,,33.38,5.09,11,28.31
,,,,Amjad Javed (c F R J Coleman),,,,,,12,
,,,,Shaiman Anwar (c †M H Cross),,,,,,13,
10.0,08/09/2014,Ireland,The Village,,7.0,0/36,,36.62,5.09,,31.08
11.0,12/09/2014,Ireland,The Village,J F Mooney (c R D Berrington),10.0,2/44,,35.73,5.01,14,29.87
,,,,A Balbirnie (lbw),,,,,,15,
12.0,08/01/2015,Afghanistan,ICC Global Cricket Academy,,7.0,0/48,,38.53,5.15,,33.07
13.0,26/01/2016,Hong Kong,Mission Road,J J Atkinson (c C S MacLeod),9.0,2/44,,37.18,5.13,16,31.76
,,,,Nizakat Khan (c †M H Cross),,,,,,17,
14.0,04/07/2016,Afghanistan,Grange Cricket Club,Javed Ahmadi (b),9.2,1/50,,38.22,5.15,18,32.78
15.0,06/07/2016,Afghanistan,Grange Cricket Club,Rahmat Shah (c C D Wallace),7.2,1/38,,38.53,5.15,19,33.05
16.0,14/08/2016,United Arab Emirates,Grange Cricket Club,Mohammad Naveed (c M A Leask),7.0,2/36,,36.86,5.15,20,31.62
,,,,Muhammad Usman (c C D de Lange),,,,,,21,
17.0,16/08/2016,United Arab Emirates,Grange Cricket Club,Mohammad Shahzad (c †M H Cross),8.0,3/25,,34.25,5.03,22,28.71
