0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,16/08/2016,United Arab Emirates,Grange Cricket Club,-,0,,3/51,3,17.00,,0,,,,22 years 170 days
2.0,08/09/2016,Hong Kong,Grange Cricket Club,-,0,,0/22,3,24.33,,0,,,,22 years 193 days
3.0,10/09/2016,Hong Kong,Grange Cricket Club,-,0,,4/28,7,14.43,,0,,,,22 years 195 days
4.0,22/01/2017,Hong Kong,Sheikh Zayed Stadium,2,2,2.00,1/40,8,17.63,1,1,,,,22 years 329 days
5.0,24/01/2017,United Arab Emirates,Dubai International Cricket Stadium,1,3,1.50,0/34,8,21.88,,1,,,,22 years 331 days
6.0,15/06/2017,Zimbabwe,Grange Cricket Club,-,3,1.50,1/40,9,23.89,2,3,,,,23 years 108 days
7.0,17/06/2017,Zimbabwe,Grange Cricket Club,2,5,1.67,3/36,12,20.92,,3,,,,23 years 110 days
8.0,08/10/2017,Papua New Guinea,Amini Park,4,9,2.25,1/31,13,21.69,,3,,,,23 years 223 days
9.0,15/03/2018,United Arab Emirates,Queens Sports Club,-,9,2.25,4/68,17,20.59,,3,,,,24 years 16 days
10.0,18/03/2018,Ireland,Harare Sports Club,7,16,3.20,1/46,18,22.00,,3,,,,24 years 19 days
