0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,08/03/2013,Afghanistan,Sharjah Cricket Stadium,9,9,9.00,1/47,1,47.00,,0,,,,23 years 77 days
2.0,17/05/2013,Pakistan,Grange Cricket Club,13,22,11.00,1/36,2,41.50,1,1,,,,23 years 147 days
3.0,30/06/2013,Kenya,Mannofield Park,-,22,11.00,1/44,3,42.33,1,2,,,,23 years 191 days
4.0,02/07/2013,Kenya,Mannofield Park,16,38,12.67,3/39,6,27.67,,2,,,,23 years 193 days
5.0,06/09/2013,Ireland,Civil Service Cricket Club,11,49,12.25,1/63,7,32.71,,2,,,,23 years 259 days
6.0,23/01/2014,Canada,Hagley Oval,10,59,11.80,2/47,9,30.67,,2,,,,24 years 33 days
7.0,30/01/2014,Kenya,Hagley Oval,46*,105,21.00,1/42,10,31.80,1,3,,,,24 years 40 days
8.0,01/02/2014,United Arab Emirates,Bert Sutcliffe Oval,4*,109,21.80,3/48,13,28.15,,3,,,,24 years 42 days
9.0,09/05/2014,England,Mannofield Park,1,110,18.33,2/36,15,26.80,2,5,,,,24 years 139 days
10.0,08/01/2015,Afghanistan,ICC Global Cricket Academy,2*,112,18.67,0/27,15,28.60,,5,,,,25 years 17 days
11.0,12/01/2015,Ireland,Dubai International Cricket Stadium,17,129,18.43,1/48,16,29.81,,5,,,,25 years 21 days
12.0,17/02/2015,New Zealand,University Oval,4,133,16.63,0/27,16,31.50,1,6,,,,25 years 57 days
13.0,11/03/2015,Sri Lanka,Bellerive Oval,3,136,15.11,1/46,17,32.35,,6,,,,25 years 79 days
14.0,14/03/2015,Australia,Bellerive Oval,0,136,13.60,1/29,18,32.17,,6,,,,25 years 82 days
15.0,26/01/2016,Hong Kong,Mission Road,18,154,14.00,2/38,20,30.85,,6,,,,26 years 35 days
