0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Cambusdoon New Ground,20.0,4,71,5,0,3/32,14.20,24.00,3.55
Gymkhana Club Ground,20.0,2,87,2,0,1/20,43.50,60.00,4.35
Jaffrey Sports Club Ground,7.0,0,39,3,0,3/39,13.00,14.00,5.57
Mombasa Sports Ground,24.3,2,119,6,1,4/29,19.83,24.50,4.86
Ruaraka Sports Club Ground,19.0,0,84,5,0,3/46,16.80,22.80,4.42
Shere Bangla National Stadium,10.0,1,46,2,0,2/46,23.00,30.00,4.60
Titwood,10.0,1,46,1,0,1/46,46.00,60.00,4.60
Warner Park,14.0,1,75,1,0,1/58,75.00,84.00,5.36
Willowmoore Park,15.0,4,71,4,0,3/23,17.75,22.50,4.73
Zahur Ahmed Chowdhury Stadium,4.0,0,25,0,0,0/25,,,6.25
Overall (10),143.3,15,663,29,1,4/29,22.86,29.69,4.62
