0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,04/07/2016,Afghanistan,Grange Cricket Club,-,0,,0/26,0,,1,1,,,,35 years 143 days
2.0,06/07/2016,Afghanistan,Grange Cricket Club,20,20,20.00,0/16,0,,2,3,,,,35 years 145 days
3.0,14/08/2016,United Arab Emirates,Grange Cricket Club,7*,27,27.00,2/35,2,38.50,3,6,,,,35 years 184 days
4.0,16/08/2016,United Arab Emirates,Grange Cricket Club,-,27,27.00,2/42,4,29.75,,6,,,,35 years 186 days
5.0,08/09/2016,Hong Kong,Grange Cricket Club,26*,53,53.00,2/26,6,24.17,,6,,,,35 years 209 days
6.0,10/09/2016,Hong Kong,Grange Cricket Club,11,64,32.00,2/38,8,22.88,,6,,,,35 years 211 days
7.0,22/01/2017,Hong Kong,Sheikh Zayed Stadium,20*,84,42.00,,8,22.88,,6,,,,35 years 345 days
8.0,15/06/2017,Zimbabwe,Grange Cricket Club,-,84,42.00,5/60,13,18.69,,6,,,,36 years 124 days
9.0,17/06/2017,Zimbabwe,Grange Cricket Club,1,85,28.33,0/8,13,19.31,,6,,,,36 years 126 days
10.0,05/10/2017,Papua New Guinea,Amini Park,2,87,21.75,1/38,14,20.64,,6,,,,36 years 236 days
11.0,08/10/2017,Papua New Guinea,Amini Park,1,88,17.60,1/28,15,21.13,,6,,,,36 years 239 days
12.0,24/11/2017,Papua New Guinea,Dubai International Cricket Stadium,17,105,17.50,0/26,15,22.87,1,7,,,,36 years 286 days
13.0,25/11/2017,Papua New Guinea,Dubai International Cricket Stadium,18*,123,20.50,1/28,16,23.19,,7,,,,36 years 287 days
