0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,21/10/1995,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,0,,
2,11/01/1996,England,Mangaung Oval,not out,2*,7,28.57,,2,,28.57
3,25/10/1996,Australia,Nahar Singh Stadium,c S R Waugh b G B Hogg,6,12,50.00,,8,8.00,42.11
4,29/10/1996,India,Madhavrao Scindia Cricket Ground,not out,13*,23,56.52,,21,21.00,50.00
5,01/11/1996,Australia,Nehru Stadium (Guwahati),did not bat,-,-,-,,21,21.00,50.00
6,06/11/1996,India,Wankhede Stadium,c M Azharuddin b S B Joshi,3,7,42.86,,24,12.00,48.98
7,14/12/1996,India,Wankhede Stadium,c B K V Prasad b A Kumble,3,4,75.00,,27,9.00,50.94
8,25/10/1998,England,Bangabandhu National Stadium,did not bat,-,-,-,,27,9.00,50.94
9,30/10/1998,Sri Lanka,Bangabandhu National Stadium,c P A de Silva b D N T Zoysa,28,23,121.74,,55,13.75,72.37
10,01/11/1998,West Indies,Bangabandhu National Stadium,did not bat,-,-,-,,55,13.75,72.37
11,24/01/1999,West Indies,Buffalo Park,run out,7,9,77.78,,62,12.40,72.94
12,30/01/1999,West Indies,St George's Park,did not bat,-,-,-,,62,12.40,72.94
13,02/02/1999,West Indies,Newlands,did not bat,-,-,-,,62,12.40,72.94
14,17/02/1999,New Zealand,AMI Stadium,did not bat,-,-,-,,62,12.40,72.94
15,20/02/1999,New Zealand,Eden Park,not out,12*,13,92.31,,74,14.80,75.51
16,25/03/1999,New Zealand,McLean Park,did not bat,-,-,-,,74,14.80,75.51
17,27/03/1999,New Zealand,Eden Park,did not bat,-,-,-,,74,14.80,75.51
18,30/03/1999,New Zealand,Basin Reserve,did not bat,-,-,-,,74,14.80,75.51
19,15/05/1999,India,County Ground (Hove),did not bat,-,-,-,,74,14.80,75.51
20,13/06/1999,Australia,Headingley,did not bat,-,-,-,,74,14.80,75.51
21,21/01/2000,Zimbabwe,Wanderers Stadium,did not bat,-,-,-,,74,14.80,75.51
22,23/01/2000,England,Mangaung Oval,c C J Adams b C White,2,4,50.00,,76,12.67,74.51
23,06/02/2000,Zimbabwe,St George's Park,did not bat,-,-,-,,76,12.67,74.51
24,09/03/2000,India,Nehru Stadium (Kochi),did not bat,-,-,-,,76,12.67,74.51
25,12/03/2000,India,Keenan Stadium,c †S S Dighe b T A S Kumaran,28,44,63.64,,104,14.86,71.23
26,15/03/2000,India,Nahar Singh Stadium,c A B Agarkar b S R Tendulkar,14,12,116.67,,118,14.75,74.68
27,17/03/2000,India,Reliance Stadium,c S B Joshi b A Kumble,9,10,90.00,,127,14.11,75.60
28,22/03/2000,India,Sharjah Cricket Stadium,did not bat,-,-,-,,127,14.11,75.60
29,24/03/2000,Pakistan,Sharjah Cricket Stadium,not out,35*,42,83.33,,162,18.00,77.14
30,27/03/2000,India,Sharjah Cricket Stadium,did not bat,-,-,-,,162,18.00,77.14
31,31/03/2000,Pakistan,Sharjah Cricket Stadium,c †Moin Khan b Waqar Younis,0,1,0.00,,162,16.20,76.78
32,16/04/2000,Australia,Wanderers Stadium,lbw b B Lee,0,3,0.00,,162,14.73,75.70
33,06/07/2000,Sri Lanka,Galle International Stadium,b M Muralitharan,1,3,33.33,,163,13.58,75.12
34,08/07/2000,Pakistan,R Premadasa Stadium,did not bat,-,-,-,,163,13.58,75.12
35,11/07/2000,Sri Lanka,Sinhalese Sports Club Ground,st K C Sangakkara b H D P K Dharmasena,19,46,41.30,,182,14.00,69.20
36,12/07/2000,Pakistan,Sinhalese Sports Club Ground,did not bat,-,-,-,,182,14.00,69.20
37,14/07/2000,Sri Lanka,R Premadasa Stadium,st K C Sangakkara b M Muralitharan,11,8,137.50,,193,13.79,71.22
38,18/08/2000,Australia,Etihad Stadium,not out,8*,7,114.29,,201,14.36,72.30
39,20/08/2000,Australia,Etihad Stadium,not out,28*,22,127.27,,229,16.36,76.33
40,23/08/2000,Pakistan,Kallang Ground,run out,1,2,50.00,,230,15.33,76.16
41,25/08/2000,New Zealand,Kallang Ground,did not bat,-,-,-,,230,15.33,76.16
42,27/08/2000,Pakistan,Kallang Ground,c Saleem Elahi b Arshad Khan,54,48,112.50,,284,17.75,81.14
43,10/10/2000,England,Gymkhana Club Ground,did not bat,-,-,-,,284,17.75,81.14
44,13/10/2000,India,Gymkhana Club Ground,b S R Tendulkar,10,16,62.50,,294,17.29,80.33
45,20/10/2000,New Zealand,Senwes Park,not out,105*,93,112.90,,399,23.47,86.93
46,22/10/2000,New Zealand,Willowmoore Park,c R G Twose b C Z Harris,64,83,77.11,,463,25.72,85.42
47,25/10/2000,New Zealand,SuperSport Park,c C L Cairns b G I Allott,129,114,113.16,,592,31.16,90.24
48,28/10/2000,New Zealand,Diamond Oval,not out,20*,11,181.82,,612,32.21,91.75
49,01/11/2000,New Zealand,Kingsmead,c C Z Harris b N J Astle,29,51,56.86,,641,32.05,89.28
50,04/11/2000,New Zealand,Newlands,c †A C Parore b S B O'Connor,8,13,61.54,,649,30.90,88.78
51,15/12/2000,Sri Lanka,St George's Park,run out,6,10,60.00,,655,29.77,88.39
52,17/12/2000,Sri Lanka,Buffalo Park,run out,7,4,175.00,,662,28.78,88.86
53,09/01/2001,Sri Lanka,Boland Park,did not bat,-,-,-,,662,28.78,88.86
54,11/01/2001,Sri Lanka,Newlands,b S T Jayasuriya,32,38,84.21,,694,28.92,88.63
55,14/01/2001,Sri Lanka,Mangaung Oval,lbw b M Muralitharan,40,31,129.03,,734,29.36,90.17
56,17/01/2001,Sri Lanka,Wanderers Stadium,c †R S Kaluwitharana b S T Jayasuriya,46,50,92.00,,780,30.00,90.28
57,10/10/2001,India,SuperSport Park,lbw b Harbhajan Singh,9,19,47.37,,789,29.22,89.35
58,14/10/2001,Kenya,Diamond Oval,did not bat,-,-,-,,789,29.22,89.35
59,19/10/2001,India,Buffalo Park,run out,18,15,120.00,,807,28.82,89.87
60,22/10/2001,Kenya,Newlands,did not bat,-,-,-,,807,28.82,89.87
61,13/01/2002,Australia,Melbourne Cricket Ground,did not bat,-,-,-,,807,28.82,89.87
62,20/01/2002,Australia,Brisbane Cricket Ground,b G D McGrath,1,6,16.67,,808,27.86,89.38
63,22/01/2002,Australia,Sydney Cricket Ground,not out,13*,36,36.11,,821,28.31,87.34
64,27/01/2002,New Zealand,Adelaide Oval,did not bat,-,-,-,,821,28.31,87.34
65,01/02/2002,New Zealand,WACA Ground,did not bat,-,-,-,,821,28.31,87.34
66,03/02/2002,Australia,WACA Ground,did not bat,-,-,-,,821,28.31,87.34
67,06/02/2002,New Zealand,Melbourne Cricket Ground,did not bat,-,-,-,,821,28.31,87.34
68,08/02/2002,New Zealand,Sydney Cricket Ground,did not bat,-,-,-,,821,28.31,87.34
69,22/03/2002,Australia,Wanderers Stadium,run out,33,48,68.75,,854,28.47,86.44
70,24/03/2002,Australia,SuperSport Park,c †A C Gilchrist b J N Gillespie,18,24,75.00,,872,28.13,86.17
71,27/03/2002,Australia,Senwes Park,did not bat,-,-,-,,872,28.13,86.17
72,30/03/2002,Australia,Mangaung Oval,c †A C Gilchrist b B Lee,14,14,100.00,,886,27.69,86.35
73,03/04/2002,Australia,Kingsmead,c & b B Lee,22,22,100.00,,908,27.52,86.64
74,06/04/2002,Australia,St George's Park,b D S Lehmann,47,48,97.92,,955,28.09,87.14
75,09/04/2002,Australia,Newlands,c †A C Gilchrist b S R Watson,49,51,96.08,,1004,28.69,87.53
76,12/08/2002,Pakistan,National Cricket Stadium (Tangier),c Imran Nazir b Shahid Afridi,52,45,115.56,,1056,29.33,88.59
77,15/08/2002,Sri Lanka,National Cricket Stadium (Tangier),c R P Arnold b C R D Fernando,17,21,80.95,,1073,29.00,88.46
78,18/08/2002,Pakistan,National Cricket Stadium (Tangier),b Wasim Akram,1,5,20.00,,1074,28.26,88.18
79,21/08/2002,Sri Lanka,National Cricket Stadium (Tangier),b M Muralitharan,3,15,20.00,,1077,27.62,87.35
80,13/09/2002,West Indies,Sinhalese Sports Club Ground,not out,0*,0,-,,1077,27.62,87.35
