0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,21/10/1995,Zimbabwe,Harare Sports Club,,10.0,0/29,,,2.90,,
2.0,11/01/1996,England,Mangaung Oval,,4.0,0/25,,,3.86,,
3.0,25/10/1996,Australia,Nahar Singh Stadium,S R Waugh (c B M McMillan),9.0,2/44,,69.00,4.26,1,49.00
,,,,M G Bevan (c A C Hudson),,,,,,2,
4.0,29/10/1996,India,Madhavrao Scindia Cricket Ground,M Azharuddin (c †D J Richardson),10.0,2/38,,49.50,4.12,3,34.00
,,,,N R Mongia (c & b),,,,,,4,
5.0,01/11/1996,Australia,Nehru Stadium (Guwahati),S R Waugh (c B M McMillan),10.0,2/43,,43.00,4.16,5,29.83
,,,,R T Ponting (b),,,,,,6,
6.0,06/11/1996,India,Wankhede Stadium,M Azharuddin (c †D J Richardson),10.0,2/51,,39.75,4.34,7,28.75
,,,,S R Tendulkar (c W J Cronje),,,,,,8,
7.0,14/12/1996,India,Wankhede Stadium,S R Tendulkar (st †G Kirsten),10.0,1/33,,42.00,4.17,9,29.22
8.0,25/10/1998,England,Bangabandhu National Stadium,G D Lloyd (lbw),10.0,1/39,,43.80,4.14,10,30.20
9.0,01/11/1998,West Indies,Bangabandhu National Stadium,S Chanderpaul (lbw),10.0,1/44,,45.27,4.17,11,31.45
10.0,24/01/1999,West Indies,Buffalo Park,,8.0,0/45,,49.64,4.30,,35.55
11.0,30/01/1999,West Indies,St George's Park,N A M McLean (b),8.0,3/33,,42.43,4.28,12,30.29
,,,,N C McGarrell (b),,,,,,13,
,,,,K F Semple (b),,,,,,14,
12.0,02/02/1999,West Indies,Newlands,N A M McLean (c S M Pollock),7.4,2/37,,40.00,4.32,15,28.81
,,,,R D Jacobs (c J H Kallis),,,,,,16,
13.0,17/02/1999,New Zealand,AMI Stadium,,10.0,0/43,,43.75,4.32,,31.50
14.0,20/02/1999,New Zealand,Eden Park,,7.0,0/35,,46.38,4.36,,33.69
15.0,25/03/1999,New Zealand,McLean Park,S P Fleming (c †M V Boucher),4.0,1/26,,45.06,4.43,17,33.24
16.0,27/03/1999,New Zealand,Eden Park,,5.0,0/12,,46.82,4.35,,33.94
17.0,15/05/1999,India,County Ground (Hove),,5.0,0/31,,48.59,4.42,,35.76
18.0,13/06/1999,Australia,Headingley,,3.0,0/29,,49.65,4.53,,37.47
19.0,21/01/2000,Zimbabwe,Wanderers Stadium,,10.0,0/40,,53.18,4.49,,39.82
20.0,23/01/2000,England,Mangaung Oval,N Hussain (c H H Gibbs),10.0,1/47,,53.56,4.51,18,40.22
21.0,06/02/2000,Zimbabwe,St George's Park,,3.0,0/19,,54.56,4.54,,41.28
