0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,16/10/1994,Pakistan,National Stadium (Karachi),10,10,10.00,0/17,0,,,0,,,,25 years 224 days
2.0,18/10/1994,Australia,Iqbal Stadium,20,30,15.00,0/17,0,,,0,,,,25 years 226 days
3.0,24/10/1994,Australia,Arbab Niaz Stadium,0,30,10.00,0/14,0,,,0,,,,25 years 232 days
4.0,16/04/1996,Pakistan,Sharjah Cricket Stadium,-,30,10.00,0/38,0,,2,2,,,,27 years 42 days
5.0,17/04/1996,India,Sharjah Cricket Stadium,54,84,21.00,0/55,0,,,2,,,,27 years 43 days
6.0,19/04/1996,India,Sharjah Cricket Stadium,26,110,22.00,,0,,,2,,,,27 years 45 days
7.0,01/10/1996,Sri Lanka,Nairobi Club Ground,10,120,20.00,1/39,1,180.00,,2,,,,27 years 210 days
8.0,03/10/1996,Kenya,Gymkhana Club Ground,1,121,17.29,1/14,2,97.00,2,4,,,,27 years 212 days
9.0,06/10/1996,Pakistan,Gymkhana Club Ground,-,121,17.29,3/30,5,44.80,1,5,,,,27 years 215 days
10.0,17/10/1996,India,Lal Bahadur Shastri Stadium,2,123,15.38,2/41,7,37.86,1,6,,,,27 years 226 days
11.0,19/10/1996,Australia,Nehru Stadium (Indore),-,123,15.38,1/39,8,38.00,1,7,,,,27 years 228 days
12.0,23/10/1996,India,Sawai Mansingh Stadium,10,133,14.78,0/32,8,42.00,,7,,,,27 years 232 days
13.0,14/12/1996,India,Wankhede Stadium,18,151,15.10,1/35,9,41.22,,7,,,,27 years 284 days
14.0,02/04/1997,Australia,Newlands,18,169,15.36,1/42,10,41.30,1,8,,,,28 years 28 days
15.0,05/04/1997,Australia,Kingsmead,17,186,15.50,0/40,10,45.30,2,10,,,,28 years 31 days
16.0,08/04/1997,Australia,Wanderers Stadium,0,186,14.31,0/37,10,49.00,1,11,,,,28 years 34 days
17.0,10/04/1997,Australia,SuperSport Park,4*,190,14.62,0/37,10,52.70,1,12,,,,28 years 36 days
18.0,13/04/1997,Australia,Mangaung Oval,-,190,14.62,,10,52.70,1,13,,,,28 years 39 days
19.0,05/04/1998,Sri Lanka,Wanderers Stadium,26,216,15.43,2/37,12,47.00,1,14,,,,29 years 30 days
20.0,11/04/1998,Pakistan,Buffalo Park,3*,219,15.64,1/43,13,46.69,,14,,,,29 years 36 days
21.0,17/04/1998,Pakistan,SuperSport Park,-,219,15.64,0/21,13,48.31,1,15,,,,29 years 42 days
22.0,25/10/1998,England,Bangabandhu National Stadium,-,219,15.64,0/20,13,49.85,,15,,,,29 years 233 days
23.0,30/10/1998,Sri Lanka,Bangabandhu National Stadium,-,219,15.64,1/7,14,46.79,1,16,,,,29 years 238 days
24.0,01/11/1998,West Indies,Bangabandhu National Stadium,24*,243,17.36,1/33,15,45.87,,16,,,,29 years 240 days
25.0,26/09/1999,India,Gymkhana Club Ground,8,251,16.73,2/47,17,43.24,,16,,,,30 years 204 days
26.0,28/09/1999,Zimbabwe,Gymkhana Club Ground,-,251,16.73,1/37,18,42.89,,16,,,,30 years 206 days
27.0,03/10/1999,India,Gymkhana Club Ground,25,276,17.25,3/47,21,39.00,2,18,,,,30 years 211 days
28.0,09/03/2000,India,Nehru Stadium (Kochi),-,276,17.25,0/37,21,40.76,1,19,,,,31 years 4 days
29.0,12/03/2000,India,Keenan Stadium,0,276,16.24,1/44,22,40.91,,19,,,,31 years 7 days
30.0,19/03/2000,India,Vidarbha Cricket Association Ground,14,290,16.11,1/69,23,42.13,,19,,,,31 years 14 days
31.0,28/03/2000,Pakistan,Sharjah Cricket Stadium,5,295,15.53,1/22,24,41.29,1,20,,,,31 years 23 days
32.0,31/03/2000,Pakistan,Sharjah Cricket Stadium,1,296,14.80,1/20,25,40.44,,20,,,,31 years 26 days
