0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,25/10/1998,England,Bangabandhu National Stadium,-,0,,1/51,1,51.00,,0,,,,28 years 332 days
2.0,28/09/1999,Zimbabwe,Gymkhana Club Ground,-,0,,3/36,4,21.75,,0,,,,29 years 304 days
3.0,03/10/1999,India,Gymkhana Club Ground,6,6,6.00,1/43,5,26.00,,0,,,,29 years 309 days
4.0,09/01/2001,Sri Lanka,Boland Park,-,6,6.00,0/58,5,37.60,,0,,,,31 years 43 days
5.0,13/09/2002,West Indies,Sinhalese Sports Club Ground,4*,10,10.00,1/51,6,39.83,,0,,,,32 years 290 days
6.0,20/09/2002,Kenya,R Premadasa Stadium,-,10,10.00,1/12,7,35.86,,0,,,,32 years 297 days
7.0,13/04/2003,India,Bangabandhu National Stadium,7*,17,17.00,2/46,9,33.00,,0,,,,33 years 136 days
8.0,14/04/2003,Bangladesh,Bangabandhu National Stadium,-,17,17.00,3/26,12,26.92,,0,,,,33 years 137 days
9.0,17/04/2003,Bangladesh,Bangabandhu National Stadium,-,17,17.00,2/29,14,25.14,,0,,,,33 years 140 days
10.0,18/04/2003,India,Bangabandhu National Stadium,-,17,17.00,4/49,18,22.28,,0,,,,33 years 141 days
11.0,21/04/2003,India,Bangabandhu National Stadium,-,17,17.00,0/3,18,22.44,1,1,,,,33 years 144 days
12.0,28/06/2003,England,Kennington Oval,-,17,17.00,0/31,18,24.17,,1,,,,33 years 212 days
13.0,29/06/2003,Zimbabwe,St Lawrence Ground,-,17,17.00,1/47,19,25.37,1,2,,,,33 years 213 days
14.0,03/10/2003,Pakistan,Gaddafi Stadium,-,17,17.00,0/55,19,28.26,,2,,,,33 years 309 days
15.0,05/10/2003,Pakistan,Gaddafi Stadium,23*,40,40.00,0/45,19,30.63,,2,,,,33 years 311 days
16.0,12/10/2003,Pakistan,Rawalpindi Cricket Stadium,-,40,40.00,0/26,19,32.00,,2,,,,33 years 318 days
17.0,20/08/2004,Sri Lanka,R Premadasa Stadium,3*,43,43.00,1/42,20,32.50,,2,,,,34 years 266 days
18.0,22/08/2004,Sri Lanka,R Premadasa Stadium,15,58,29.00,0/46,20,34.80,,2,,,,34 years 268 days
19.0,25/08/2004,Sri Lanka,Rangiri Dambulla International Stadium,11,69,23.00,1/19,21,34.05,,2,,,,34 years 271 days
