0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,09/01/1996,England,Newlands,38,38,38.00,0/14,0,,,0,,,,20 years 85 days
2.0,11/01/1996,England,Mangaung Oval,29,67,33.50,0/27,0,,,0,,,,20 years 87 days
3.0,13/01/1996,England,Wanderers Stadium,16,83,27.67,,0,,,0,,,,20 years 89 days
4.0,14/01/1996,England,SuperSport Park,14*,97,32.33,,0,,1,1,,,,20 years 90 days
5.0,17/01/1996,England,Kingsmead,67,164,41.00,,0,,,1,,,,20 years 93 days
6.0,19/01/1996,England,Buffalo Park,0,164,32.80,0/9,0,,,1,,,,20 years 95 days
7.0,21/01/1996,England,St George's Park,2,166,27.67,,0,,,1,,,,20 years 97 days
8.0,16/02/1996,United Arab Emirates,Rawalpindi Cricket Stadium,-,166,27.67,0/27,0,,,1,,,,20 years 123 days
9.0,20/02/1996,New Zealand,Iqbal Stadium,11*,177,29.50,,0,,,1,,,,20 years 127 days
10.0,25/02/1996,England,Rawalpindi Cricket Stadium,26,203,29.00,,0,,,1,,,,20 years 132 days
11.0,29/02/1996,Pakistan,National Stadium (Karachi),9,212,26.50,,0,,,1,,,,20 years 136 days
12.0,05/03/1996,Netherlands,Rawalpindi Cricket Stadium,17*,229,28.63,0/30,0,,1,2,,,,20 years 141 days
13.0,16/04/1996,Pakistan,Sharjah Cricket Stadium,24*,253,31.63,3/21,3,42.67,,2,,,,20 years 183 days
14.0,17/04/1996,India,Sharjah Cricket Stadium,22,275,30.56,1/34,4,40.50,,2,,,,20 years 184 days
15.0,02/02/1997,India,St George's Park,79,354,35.40,2/23,6,30.83,,2,,,,21 years 109 days
16.0,04/02/1997,India,Buffalo Park,52*,406,40.60,0/34,6,36.50,,2,,,,21 years 111 days
17.0,12/02/1997,India,Kingsmead,8*,414,41.40,0/27,6,41.00,,2,,,,21 years 119 days
18.0,13/02/1997,India,Kingsmead,49,463,42.09,0/18,6,44.00,,2,,,,21 years 120 days
19.0,29/03/1997,Australia,Buffalo Park,63,526,43.83,1/42,7,43.71,1,3,,,,21 years 164 days
20.0,31/03/1997,Australia,St George's Park,82,608,46.77,0/21,7,46.71,,3,,,,21 years 166 days
21.0,02/04/1997,Australia,Newlands,23,631,45.07,0/30,7,51.00,1,4,,,,21 years 168 days
22.0,05/04/1997,Australia,Kingsmead,1,632,42.13,0/34,7,55.86,1,5,,,,21 years 171 days
23.0,08/04/1997,Australia,Wanderers Stadium,55,687,42.94,0/10,7,57.29,,5,,,,21 years 174 days
24.0,10/04/1997,Australia,SuperSport Park,3,690,40.59,0/37,7,62.57,,5,,,,21 years 176 days
25.0,13/04/1997,Australia,Mangaung Oval,10,700,38.89,1/21,8,57.38,,5,,,,21 years 179 days
26.0,04/12/1997,Australia,Sydney Cricket Ground,8,708,37.26,,8,57.38,1,6,,,,22 years 49 days
27.0,06/12/1997,New Zealand,Adelaide Oval,14,722,36.10,,8,57.38,,6,,,,22 years 51 days
28.0,09/12/1997,Australia,Melbourne Cricket Ground,27,749,35.67,,8,57.38,,6,,,,22 years 54 days
29.0,11/12/1997,New Zealand,Bellerive Oval,45,794,36.09,,8,57.38,,6,,,,22 years 56 days
30.0,09/01/1998,New Zealand,Brisbane Cricket Ground,31,825,35.87,2/49,10,50.80,,6,,,,22 years 85 days
31.0,11/01/1998,Australia,Brisbane Cricket Ground,47,872,36.33,2/32,12,45.00,,6,,,,22 years 87 days
32.0,16/01/1998,New Zealand,WACA Ground,111,983,39.32,2/26,14,40.43,,6,,,,22 years 92 days
33.0,18/01/1998,Australia,WACA Ground,38,1021,39.27,0/8,14,41.00,1,7,,,,22 years 94 days
34.0,23/01/1998,Australia,Melbourne Cricket Ground,33,1054,39.04,0/23,14,42.64,,7,,,,22 years 99 days
35.0,26/01/1998,Australia,Sydney Cricket Ground,10,1064,38.00,,14,42.64,,7,,,,22 years 102 days
36.0,27/01/1998,Australia,Sydney Cricket Ground,14,1078,37.17,0/23,14,44.29,,7,,,,22 years 103 days
37.0,03/04/1998,Pakistan,Kingsmead,109*,1187,40.93,0/50,14,47.86,1,8,,,,22 years 169 days
38.0,05/04/1998,Sri Lanka,Wanderers Stadium,5,1192,39.73,,14,47.86,,8,,,,22 years 171 days
39.0,11/04/1998,Pakistan,Buffalo Park,6,1198,38.65,0/16,14,49.00,1,9,,,,22 years 177 days
40.0,13/04/1998,Sri Lanka,St George's Park,1,1199,37.47,1/30,15,47.73,,9,,,,22 years 179 days
41.0,17/04/1998,Pakistan,SuperSport Park,79*,1278,39.94,,15,47.73,,9,,,,22 years 183 days
42.0,19/04/1998,Sri Lanka,Mangaung Oval,39,1317,39.91,2/16,17,43.06,1,10,,,,22 years 185 days
43.0,23/04/1998,Pakistan,Newlands,28*,1345,40.76,,17,43.06,2,12,,,,22 years 189 days
44.0,21/05/1998,England,Kennington Oval,62,1407,41.38,1/24,18,42.00,,12,,,,22 years 217 days
45.0,23/05/1998,England,Old Trafford,9,1416,40.46,0/10,18,42.56,1,13,,,,22 years 219 days
46.0,24/05/1998,England,Headingley,1,1417,39.36,,18,42.56,,13,,,,22 years 220 days
47.0,14/08/1998,Sri Lanka,Trent Bridge,6,1423,38.46,1/22,19,41.47,,13,,,,22 years 302 days
48.0,18/08/1998,England,Edgbaston,19,1442,37.95,0/24,19,42.74,,13,,,,22 years 306 days
49.0,25/10/1998,England,Bangabandhu National Stadium,14,1456,37.33,3/48,22,39.09,1,14,,,,23 years 9 days
50.0,30/10/1998,Sri Lanka,Bangabandhu National Stadium,113*,1569,40.23,0/34,22,40.64,,14,,,,23 years 14 days
51.0,01/11/1998,West Indies,Bangabandhu National Stadium,37,1606,40.15,5/30,27,34.22,,14,,,,23 years 16 days
52.0,22/01/1999,West Indies,Wanderers Stadium,9,1615,39.39,0/22,27,35.04,1,15,,,,23 years 98 days
53.0,24/01/1999,West Indies,Buffalo Park,51,1666,39.67,0/51,27,36.93,,15,,,,23 years 100 days
54.0,27/01/1999,West Indies,Kingsmead,24,1690,39.30,3/24,30,34.03,1,16,,,,23 years 103 days
55.0,30/01/1999,West Indies,St George's Park,2,1692,38.45,1/25,31,33.74,2,18,,,,23 years 106 days
56.0,02/02/1999,West Indies,Newlands,16,1708,37.96,1/25,32,33.47,1,19,,,,23 years 109 days
57.0,05/02/1999,West Indies,Mangaung Oval,30,1738,37.78,2/16,34,31.97,1,20,,,,23 years 112 days
58.0,07/02/1999,West Indies,SuperSport Park,66,1804,38.38,3/38,37,30.41,3,23,,,,23 years 114 days
59.0,14/02/1999,New Zealand,Carisbrook,100,1904,39.67,1/36,38,30.55,1,24,,,,23 years 121 days
60.0,17/02/1999,New Zealand,AMI Stadium,53,1957,39.94,1/28,39,30.49,,24,,,,23 years 124 days
61.0,20/02/1999,New Zealand,Eden Park,12,1969,39.38,0/22,39,31.05,,24,,,,23 years 127 days
62.0,25/03/1999,New Zealand,McLean Park,-,1969,39.38,1/56,40,31.68,,24,,,,23 years 160 days
63.0,26/03/1999,New Zealand,McLean Park,4,1973,38.69,3/41,43,30.42,,24,,,,23 years 161 days
64.0,27/03/1999,New Zealand,Eden Park,100,2073,39.87,1/31,44,30.43,3,27,,,,23 years 162 days
65.0,30/03/1999,New Zealand,Basin Reserve,54,2127,40.13,,44,30.43,,27,,,,23 years 165 days
66.0,15/05/1999,India,County Ground (Hove),96,2223,41.17,0/43,44,31.41,,27,,,,23 years 211 days
67.0,19/05/1999,Sri Lanka,County Ground (Northampton),12,2235,40.64,3/26,47,29.96,1,28,,,,23 years 215 days
68.0,22/05/1999,England,Kennington Oval,0,2235,39.91,2/29,49,29.33,,28,,,,23 years 218 days
69.0,26/05/1999,Kenya,VRA Ground,44*,2279,40.70,0/37,49,30.08,,28,,,,23 years 222 days
70.0,29/05/1999,Zimbabwe,County Ground (Chelmsford),0,2279,39.98,0/36,49,30.82,,28,,,,23 years 225 days
71.0,05/06/1999,Pakistan,Trent Bridge,54,2333,40.22,0/47,49,31.78,,28,,,,23 years 232 days
72.0,10/06/1999,New Zealand,Edgbaston,53*,2386,41.14,2/15,51,30.82,,28,,,,23 years 237 days
73.0,17/06/1999,Australia,Edgbaston,53,2439,41.34,1/27,52,30.75,,28,,,,23 years 244 days
74.0,26/09/1999,India,Gymkhana Club Ground,38,2477,41.28,0/12,52,30.98,,28,,,,23 years 345 days
75.0,28/09/1999,Zimbabwe,Gymkhana Club Ground,25,2502,41.02,1/35,53,31.06,1,29,,,,23 years 347 days
76.0,30/09/1999,Kenya,Gymkhana Club Ground,39,2541,40.98,2/27,55,30.42,,29,,,,23 years 349 days
77.0,03/10/1999,India,Gymkhana Club Ground,9,2550,40.48,1/33,56,30.46,,29,,,,23 years 352 days
