0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
ACC Asian XI,22.0,0,100,3,0,2/40,33.33,44.00,4.55
Australia,7.0,0,29,0,0,,,,4.14
Bangladesh,1.0,0,13,0,0,0/13,,,13.00
England,13.0,0,86,0,0,,,,6.62
India,24.3,0,126,9,0,3/20,14.00,16.33,5.14
Ireland,3.0,0,14,0,0,,,,4.67
Kenya,12.0,2,59,2,0,2/14,29.50,36.00,4.92
Netherlands,4.0,0,18,2,0,2/18,9.00,12.00,4.50
New Zealand,34.0,0,166,3,0,2/50,55.33,68.00,4.88
Pakistan,12.0,0,57,2,0,2/9,28.50,36.00,4.75
Sri Lanka,15.1,0,65,3,0,2/34,21.67,30.33,4.29
West Indies,37.3,2,177,7,0,3/54,25.29,32.14,4.72
Zimbabwe,32.0,6,105,1,0,1/30,105.00,192.00,3.28
Overall (13),217.1,10,1015,32,0,3/20,31.72,40.72,4.67
