0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,07/02/2018,India,Newlands,6,6,6.00,,0,,,0,3,,3,26 years 192 days
2.0,10/02/2018,India,Wanderers Stadium,43*,49,49.00,,0,,,0,,,3,26 years 195 days
3.0,13/02/2018,India,St George's Park,39,88,44.00,,0,,,0,3,,6,26 years 198 days
4.0,16/02/2018,India,SuperSport Park,22,110,36.67,,0,,,0,1,,7,26 years 201 days
5.0,08/08/2018,Sri Lanka,Pallekele International Cricket Stadium,17,127,31.75,,0,,,0,,,7,27 years 9 days
6.0,12/08/2018,Sri Lanka,R Premadasa Stadium,3,130,26.00,,0,,1,1,,,7,27 years 13 days
7.0,30/09/2018,Zimbabwe,Diamond Oval,44,174,29.00,,0,,,1,1,,8,27 years 62 days
8.0,03/10/2018,Zimbabwe,Mangaung Oval,1,175,25.00,,0,,,1,,1,9,27 years 65 days
9.0,06/10/2018,Zimbabwe,Boland Park,59,234,29.25,,0,,,1,3,1,13,27 years 68 days
10.0,04/11/2018,Australia,Optus Stadium,2,236,26.22,,0,,3,4,,,13,27 years 97 days
11.0,09/11/2018,Australia,Adelaide Oval,14,250,25.00,,0,,,4,,,13,27 years 102 days
12.0,11/11/2018,Australia,Bellerive Oval,1*,251,25.10,,0,,1,5,,,13,27 years 104 days
13.0,19/01/2019,Pakistan,St George's Park,-,251,25.10,,0,,,5,,,13,27 years 173 days
14.0,22/01/2019,Pakistan,Kingsmead,0,251,22.82,,0,,,5,,1,14,27 years 176 days
