0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,13.0,1,57,0,0,0/28,,,4.38
AMI Stadium,8.0,2,36,0,0,0/36,,,4.50
Asgiriya Stadium,5.0,0,33,0,0,0/33,,,6.60
Basin Reserve,10.0,2,34,1,0,1/34,34.00,60.00,3.40
Bellerive Oval,10.0,1,28,0,0,0/28,,,2.80
Brabourne Stadium,5.0,0,25,2,0,2/25,12.50,15.00,5.00
Brisbane Cricket Ground,41.0,2,212,5,0,2/34,42.40,49.20,5.17
Buffalo Park,26.0,1,121,1,0,1/38,121.00,156.00,4.65
Eden Gardens,15.0,0,71,0,0,0/30,,,4.73
Eden Park,5.0,1,23,0,0,0/23,,,4.60
Gaddafi Stadium,3.0,0,24,0,0,0/24,,,8.00
Gymkhana Club Ground,22.0,0,121,6,0,3/17,20.17,22.00,5.50
Harare Sports Club,5.0,0,13,2,0,2/13,6.50,15.00,2.60
Iqbal Stadium,7.0,1,26,1,0,1/26,26.00,42.00,3.71
Jawaharlal Nehru Stadium (Delhi),8.0,0,40,0,0,0/40,,,5.00
Kingsmead,18.0,1,60,2,0,2/35,30.00,54.00,3.33
Lal Bahadur Shastri Stadium,8.0,1,30,0,0,0/30,,,3.75
Mangaung Oval,24.0,0,139,1,0,1/46,139.00,144.00,5.79
Manuka Oval,10.0,1,30,3,0,3/30,10.00,20.00,3.00
Melbourne Cricket Ground,35.0,4,145,6,0,2/29,24.17,35.00,4.14
Nahar Singh Stadium,9.0,0,41,1,0,1/41,41.00,54.00,4.56
Nairobi Club Ground,6.0,0,38,0,0,0/38,,,6.33
National Stadium (Karachi),18.0,1,68,2,0,2/37,34.00,54.00,3.78
Nehru Stadium (Guwahati),15.0,2,51,0,0,0/16,,,3.40
Nehru Stadium (Indore),9.0,0,48,0,0,0/48,,,5.33
Newlands,30.0,0,126,3,0,2/42,42.00,60.00,4.20
Old Trafford,10.0,1,53,0,0,0/53,,,5.30
Punjab Cricket Association IS Bindra Stadium,10.0,0,45,0,0,0/45,,,4.50
R Premadasa Stadium,15.0,1,53,4,0,3/12,13.25,22.50,3.53
Rawalpindi Cricket Stadium,18.0,3,33,3,0,3/11,11.00,36.00,1.83
Sawai Mansingh Stadium,9.0,1,32,3,0,3/32,10.67,18.00,3.56
Sharjah Cricket Stadium,29.0,1,111,2,0,1/20,55.50,87.00,3.83
St George's Park,35.4,0,131,9,1,4/32,14.56,23.78,3.67
SuperSport Park,9.1,0,36,0,0,0/36,,,3.93
Sydney Cricket Ground,44.0,0,214,7,0,3/47,30.57,37.71,4.86
WACA Ground,18.0,5,66,4,0,3/39,16.50,27.00,3.67
Wanderers Stadium,35.0,0,142,2,0,1/27,71.00,105.00,4.06
Wankhede Stadium,6.0,0,33,0,0,0/33,,,5.50
Overall (38),603.5,33,2589,70,1,4/32,36.99,51.76,4.29
