0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,12/05/2001,West Indies,Queen's Park Oval,3*,3,,3/20,3,6.67,,0,,,,23 years 301 days
2.0,23/09/2001,Zimbabwe,Queens Sports Club,-,3,,1/27,4,11.75,,0,,,,24 years 70 days
3.0,29/09/2001,Zimbabwe,Harare Sports Club,-,3,,0/29,4,19.00,,0,,,,24 years 76 days
4.0,05/10/2001,India,Wanderers Stadium,-,3,,1/47,5,24.60,,0,,,,24 years 82 days
5.0,07/10/2001,Kenya,Willowmoore Park,-,3,,1/24,6,24.50,1,1,,,,24 years 84 days
6.0,10/10/2001,India,SuperSport Park,0*,3,,1/49,7,28.00,1,2,,,,24 years 87 days
7.0,19/10/2001,India,Buffalo Park,-,3,,3/45,10,24.10,,2,,,,24 years 96 days
8.0,08/07/2003,England,Edgbaston,1,4,4.00,0/38,10,27.90,1,3,,,,25 years 357 days
9.0,10/07/2003,Zimbabwe,The Rose Bowl,-,4,4.00,2/33,12,26.00,,3,,,,25 years 359 days
10.0,12/07/2003,England,Lord's,1,5,2.50,1/22,13,25.69,,3,,,,25 years 361 days
11.0,07/10/2003,Pakistan,Iqbal Stadium,-,5,2.50,1/58,14,28.00,,3,,,,26 years 83 days
12.0,10/10/2003,Pakistan,Rawalpindi Cricket Stadium,-,5,2.50,4/39,18,23.94,,3,,,,26 years 86 days
13.0,12/10/2003,Pakistan,Rawalpindi Cricket Stadium,-,5,2.50,2/36,20,23.35,1,4,,,,26 years 88 days
14.0,25/01/2004,West Indies,Newlands,-,5,2.50,2/18,22,22.05,,4,,,,26 years 193 days
15.0,28/01/2004,West Indies,St George's Park,-,5,2.50,0/36,22,23.68,,4,,,,26 years 196 days
16.0,30/01/2004,West Indies,Kingsmead,-,5,2.50,1/25,23,23.74,,4,,,,26 years 198 days
17.0,01/02/2004,West Indies,SuperSport Park,-,5,2.50,0/63,23,26.48,,4,,,,26 years 200 days
18.0,04/02/2004,West Indies,Wanderers Stadium,-,5,2.50,0/60,23,29.09,,4,,,,26 years 203 days
19.0,13/02/2004,New Zealand,Eden Park,-,5,2.50,2/42,25,28.44,1,5,,,,26 years 212 days
20.0,17/02/2004,New Zealand,AMI Stadium,-,5,2.50,0/45,25,30.24,1,6,,,,26 years 216 days
21.0,20/02/2004,New Zealand,Westpac Stadium,-,5,2.50,0/38,25,31.76,,6,,,,26 years 219 days
22.0,25/02/2004,New Zealand,Carisbrook,-,5,2.50,1/60,26,32.85,,6,,,,26 years 224 days
23.0,30/01/2005,England,Wanderers Stadium,1*,6,3.00,1/13,27,32.11,,6,,,,27 years 199 days
24.0,02/02/2005,England,Mangaung Oval,-,6,3.00,1/54,28,32.89,,6,,,,27 years 202 days
25.0,04/02/2005,England,St George's Park,-,6,3.00,3/49,31,31.29,,6,,,,27 years 204 days
26.0,06/02/2005,England,Newlands,-,6,3.00,1/27,32,31.16,1,7,,,,27 years 206 days
27.0,09/02/2005,England,Buffalo Park,-,6,3.00,1/69,33,32.30,,7,,,,27 years 209 days
28.0,11/02/2005,England,Kingsmead,2*,8,4.00,,33,32.30,1,8,,,,27 years 211 days
29.0,13/02/2005,England,SuperSport Park,-,8,4.00,2/60,35,32.17,,8,,,,27 years 213 days
30.0,07/05/2005,West Indies,Sabina Park,-,8,4.00,2/43,37,31.59,1,9,,,,27 years 296 days
31.0,08/05/2005,West Indies,Sabina Park,-,8,4.00,0/26,37,32.30,,9,,,,27 years 297 days
32.0,11/05/2005,West Indies,Kensington Oval,-,8,4.00,3/42,40,30.93,2,11,,,,27 years 300 days
33.0,14/05/2005,West Indies,Queen's Park Oval,-,8,4.00,1/42,41,31.20,,11,,,,27 years 303 days
34.0,15/05/2005,West Indies,Queen's Park Oval,-,8,4.00,2/32,43,30.49,,11,,,,27 years 304 days
35.0,23/10/2005,New Zealand,Mangaung Oval,-,8,4.00,3/42,46,29.41,,11,,,,28 years 100 days
36.0,28/10/2005,New Zealand,Newlands,4*,12,6.00,1/32,47,29.47,,11,,,,28 years 105 days
37.0,30/10/2005,New Zealand,St George's Park,-,12,6.00,2/47,49,29.22,,11,,,,28 years 107 days
38.0,04/11/2005,New Zealand,Kingsmead,-,12,6.00,,49,29.22,,11,,,,28 years 112 days
39.0,06/11/2005,New Zealand,SuperSport Park,-,12,6.00,1/46,50,29.56,,11,,,,28 years 114 days
40.0,16/11/2005,India,Rajiv Gandhi International Stadium,-,12,6.00,2/45,52,29.29,,11,,,,28 years 124 days
41.0,19/11/2005,India,M Chinnaswamy Stadium,-,12,6.00,0/31,52,29.88,,11,,,,28 years 127 days
42.0,25/11/2005,India,Eden Gardens,-,12,6.00,1/35,53,29.98,,11,,,,28 years 133 days
43.0,28/11/2005,India,Wankhede Stadium,-,12,6.00,2/35,55,29.53,,11,,,,28 years 136 days
44.0,26/02/2006,Australia,SuperSport Park,-,12,6.00,0/62,55,30.65,1,12,,,,28 years 226 days
45.0,03/03/2006,Australia,Newlands,-,12,6.00,3/30,58,29.59,,12,,,,28 years 231 days
46.0,15/09/2006,Zimbabwe,Mangaung Oval,-,12,6.00,2/39,60,29.25,,12,,,,29 years 61 days
47.0,20/09/2006,Zimbabwe,Senwes Park,-,12,6.00,2/41,62,28.97,,12,,,,29 years 66 days
48.0,16/10/2006,New Zealand,Brabourne Stadium,0,12,4.00,1/15,63,28.75,,12,,,,29 years 92 days
49.0,24/10/2006,Sri Lanka,Sardar Patel Stadium,0,12,3.00,3/41,66,28.06,,12,,,,29 years 100 days
50.0,27/10/2006,Pakistan,Punjab Cricket Association IS Bindra Stadium,12*,24,6.00,0/23,66,28.41,,12,,,,29 years 103 days
51.0,02/11/2006,West Indies,Sawai Mansingh Stadium,0*,24,6.00,0/60,66,29.32,,12,,,,29 years 109 days
52.0,22/11/2006,India,Kingsmead,22,46,9.20,4/13,70,27.83,,12,,,,29 years 129 days
53.0,29/11/2006,India,St George's Park,0*,46,9.20,1/40,71,28.00,1,13,,,,29 years 136 days
54.0,03/12/2006,India,SuperSport Park,-,46,9.20,1/34,72,28.08,1,14,,,,29 years 140 days
55.0,04/02/2007,Pakistan,SuperSport Park,-,46,9.20,1/26,73,28.05,1,15,,,,29 years 203 days
56.0,07/02/2007,Pakistan,Kingsmead,5,51,8.50,0/82,73,29.18,,15,,,,29 years 206 days
57.0,16/03/2007,Netherlands,Warner Park,-,51,8.50,0/19,73,29.44,,15,,,,29 years 243 days
58.0,07/04/2007,Bangladesh,Providence Stadium,1,52,7.43,5/45,78,28.13,2,17,,,,29 years 265 days
59.0,10/04/2007,West Indies,National Cricket Stadium (Grenada),-,52,7.43,1/54,79,28.46,,17,,,,29 years 268 days
60.0,14/04/2007,New Zealand,National Cricket Stadium (Grenada),-,52,7.43,2/33,81,28.16,,17,,,,29 years 272 days
61.0,17/04/2007,England,Kensington Oval,-,52,7.43,3/35,84,27.57,,17,,,,29 years 275 days
62.0,25/04/2007,Australia,Darren Sammy National Cricket Stadium,8,60,7.50,1/31,85,27.61,,17,,,,29 years 283 days
63.0,26/06/2007,India,Civil Service Cricket Club,-,60,7.50,3/47,88,27.20,,17,,,,29 years 345 days
64.0,29/06/2007,India,Civil Service Cricket Club,1*,61,7.63,0/41,88,27.67,,17,,,,29 years 348 days
65.0,01/07/2007,India,Civil Service Cricket Club,-,61,7.63,1/24,89,27.63,,17,,,,29 years 350 days
66.0,26/10/2007,Pakistan,Multan Cricket Stadium,-,61,7.63,2/44,91,27.51,1,18,,,,30 years 102 days
67.0,29/10/2007,Pakistan,Gaddafi Stadium,3*,64,8.00,0/32,91,27.86,1,19,,,,30 years 105 days
68.0,25/11/2007,New Zealand,Kingsmead,10*,74,9.25,3/46,94,27.46,1,20,,,,30 years 132 days
69.0,30/11/2007,New Zealand,St George's Park,30*,104,13.00,0/66,94,28.16,,20,,,,30 years 137 days
70.0,02/12/2007,New Zealand,Newlands,-,104,13.00,1/52,95,28.41,1,21,,,,30 years 139 days
71.0,20/01/2008,West Indies,SuperSport Park,-,104,13.00,2/36,97,28.20,,21,,,,30 years 188 days
72.0,01/02/2008,West Indies,Kingsmead,-,104,13.00,2/44,99,28.07,,21,,,,30 years 200 days
73.0,03/02/2008,West Indies,Wanderers Stadium,-,104,13.00,0/27,99,28.34,,21,,,,30 years 202 days
74.0,09/03/2008,Bangladesh,Zahur Ahmed Chowdhury Stadium,-,104,13.00,3/24,102,27.75,,21,,,,30 years 237 days
75.0,12/03/2008,Bangladesh,Shere Bangla National Stadium,-,104,13.00,4/27,106,26.95,,21,,,,30 years 240 days
76.0,22/08/2008,England,Headingley,10,114,12.67,0/53,106,27.45,,21,,,,31 years 38 days
