0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,25/09/2002,India,R Premadasa Stadium,,10.0,0/47,,,4.70,,
2.0,09/10/2002,Bangladesh,Diamond Oval,Khaled Mahmud (b),10.0,2/39,,60.00,4.30,1,43.00
,,,,Alok Kapali (lbw),,,,,,2,
3.0,04/12/2002,Sri Lanka,Diamond Oval,,5.0,0/25,,75.00,4.44,,55.50
4.0,06/12/2002,Sri Lanka,Mangaung Oval,,8.0,0/35,,99.00,4.42,,73.00
5.0,16/12/2002,Pakistan,Boland Park,Inzamam-ul-Haq (lbw),7.0,1/29,,80.00,4.38,3,58.33
6.0,18/12/2002,Pakistan,Newlands,,5.0,0/36,,90.00,4.69,,70.33
7.0,22/02/2003,Bangladesh,Mangaung Oval,,6.0,0/21,,102.00,4.55,,77.33
8.0,13/04/2003,India,Bangabandhu National Stadium,,8.0,0/56,,118.00,4.88,,96.00
9.0,03/10/2003,Pakistan,Gaddafi Stadium,,8.0,0/40,,134.00,4.90,,109.33
10.0,05/10/2003,Pakistan,Gaddafi Stadium,,3.0,0/21,,140.00,4.99,,116.33
11.0,07/10/2003,Pakistan,Iqbal Stadium,Younis Khan (c M Ntini),7.0,2/26,,92.40,4.87,4,75.00
,,,,Yasir Hameed (c H H Gibbs),,,,,,5,
12.0,10/10/2003,Pakistan,Rawalpindi Cricket Stadium,,5.0,0/31,,98.40,4.95,,81.20
13.0,12/10/2003,Pakistan,Rawalpindi Cricket Stadium,Younis Khan (b),10.0,2/32,,78.86,4.76,6,62.57
,,,,Shoaib Malik (c A Nel),,,,,,7,
14.0,28/01/2004,West Indies,St George's Park,,2.0,0/7,,80.57,4.73,,63.57
15.0,30/01/2004,West Indies,Kingsmead,,7.0,0/22,,86.57,4.62,,66.71
16.0,01/02/2004,West Indies,SuperSport Park,,6.0,0/45,,91.71,4.79,,73.14
17.0,04/02/2004,West Indies,Wanderers Stadium,,3.0,0/22,,94.29,4.85,,76.29
18.0,13/02/2004,New Zealand,Eden Park,,8.0,0/42,,101.14,4.88,,82.29
19.0,02/03/2004,New Zealand,McLean Park,C L Cairns (b),9.0,1/28,,95.25,4.76,8,75.50
20.0,28/08/2004,Sri Lanka,Rangiri Dambulla International Stadium,W S Jayantha (c J-P Duminy),3.0,1/22,,86.67,4.82,9,69.56
21.0,26/02/2006,Australia,SuperSport Park,,7.0,0/36,,91.33,4.83,,73.56
22.0,03/03/2006,Australia,Newlands,G B Hogg (c S M Pollock),5.0,1/16,,85.20,4.77,10,67.80
23.0,05/03/2006,Australia,St George's Park,,10.0,0/39,,91.20,4.72,,71.70
