0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,10/11/1991,India,Eden Gardens,,6.0,0/35,,,5.83,,
2.0,12/11/1991,India,Captain Roop Singh Stadium,K Srikkanth (c M Yachad),9.0,1/43,,90.00,5.20,1,78.00
3.0,14/11/1991,India,Jawaharlal Nehru Stadium (Delhi),,10.0,0/56,,150.00,5.36,,134.00
4.0,26/02/1992,Australia,Sydney Cricket Ground,,9.0,0/15,,204.00,4.38,,149.00
5.0,29/02/1992,New Zealand,Eden Park,R T Latham (c K C Wessels),7.0,1/56,,123.00,5.00,2,102.50
6.0,02/03/1992,Sri Lanka,Basin Reserve,,10.0,0/33,,153.00,4.67,,119.00
7.0,05/03/1992,West Indies,AMI Stadium,D Williams (c †D J Richardson),7.0,2/16,,87.00,4.38,3,63.50
,,,,M D Marshall (c J N Rhodes),,,,,,4,
8.0,08/03/1992,Pakistan,Brisbane Cricket Ground,Aamir Sohail (b),8.0,1/26,,79.20,4.24,5,56.00
9.0,10/03/1992,Zimbabwe,Manuka Oval,,10.0,0/24,,91.20,4.00,,60.80
10.0,12/03/1992,England,Melbourne Cricket Ground,G A Hick (c †D J Richardson),7.5,3/42,,62.88,4.13,6,43.25
,,,,D R Pringle (c A P Kuiper),,,,,,7,
,,,,D A Reeve (c B M McMillan),,,,,,8,
11.0,15/03/1992,India,Adelaide Oval,,6.0,0/46,,67.38,4.36,,49.00
12.0,22/03/1992,England,Sydney Cricket Ground,G A Hick (c J N Rhodes),8.0,1/52,,65.22,4.54,9,49.33
13.0,07/04/1992,West Indies,Sabina Park,,10.0,0/56,,71.89,4.64,,55.56
14.0,11/04/1992,West Indies,Queen's Park Oval,,6.0,0/30,,75.89,4.66,,58.89
15.0,12/04/1992,West Indies,Queen's Park Oval,P V Simmons (c W J Cronje),10.0,1/45,,74.30,4.64,10,57.50
16.0,21/02/1993,Pakistan,SuperSport Park,,10.0,0/31,,80.30,4.53,,60.60
17.0,23/02/1993,West Indies,Mangaung Oval,D L Haynes (c †E L R Stewart),10.0,1/36,,78.45,4.46,11,58.36
18.0,22/08/1993,Sri Lanka,Asgiriya Stadium,,6.3,0/33,,82.00,4.49,,61.36
19.0,02/09/1993,Sri Lanka,R Premadasa Stadium,A P Gurusinha (c B M McMillan),5.0,1/15,,77.67,4.44,12,57.50
20.0,04/09/1993,Sri Lanka,R Premadasa Stadium,R S Kalpage (c & b),10.0,2/52,,70.86,4.49,13,53.00
,,,,A Ranatunga (c A A Donald),,,,,,14,
21.0,14/11/1993,West Indies,Brabourne Stadium,B C Lara (c J N Rhodes),6.0,2/30,,64.25,4.51,15,48.25
,,,,D L Haynes (c J N Rhodes),,,,,,16,
