0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,20.0,2,80,5,0,3/49,16.00,24.00,4.00
Arun Jaitley Stadium,7.3,1,24,3,0,3/24,8.00,15.00,3.20
Bay Oval,16.1,2,63,3,0,2/35,21.00,32.33,3.90
Bellerive Oval,23.0,2,113,5,0,3/45,22.60,27.60,4.91
Boland Park,22.3,4,69,4,0,3/29,17.25,33.75,3.07
Buffalo Park,15.0,2,75,3,0,2/21,25.00,30.00,5.00
Captain Roop Singh Stadium,10.0,0,89,0,0,0/89,,,8.90
Civil Service Cricket Club,13.0,0,65,3,0,2/30,21.67,26.00,5.00
Dubai International Cricket Stadium,18.0,0,126,3,0,2/47,42.00,36.00,7.00
Eden Gardens,4.0,1,13,0,0,0/13,,,3.25
Eden Park,25.5,5,134,4,0,3/30,33.50,38.75,5.19
Etihad Stadium,5.0,0,58,1,0,1/58,58.00,30.00,11.60
Green Park,10.0,0,54,1,0,1/54,54.00,60.00,5.40
Harare Sports Club,55.3,5,277,13,1,4/34,21.31,25.62,4.99
Headingley,10.0,0,67,1,0,1/67,67.00,60.00,6.70
Holkar Cricket Stadium,10.0,0,49,3,0,3/49,16.33,20.00,4.90
Kennington Oval,17.0,0,99,2,0,1/32,49.50,51.00,5.82
Kingsmead,68.2,5,327,16,0,3/17,20.44,25.63,4.79
Lord's,12.4,0,64,3,0,2/47,21.33,25.33,5.05
MA Chidambaram Stadium,19.0,0,98,4,0,3/61,24.50,28.50,5.16
Mahinda Rajapaksha International Cricket Stadium,7.0,0,55,0,0,0/55,,,7.86
Mangaung Oval,16.0,0,74,3,0,2/19,24.67,32.00,4.63
Manuka Oval,18.0,0,92,2,0,2/39,46.00,54.00,5.11
McLean Park,10.0,1,37,1,0,1/37,37.00,60.00,3.70
Melbourne Cricket Ground,29.0,3,151,4,0,2/47,37.75,43.50,5.21
Newlands,72.2,3,342,9,0,3/33,38.00,48.22,4.73
Optus Stadium,7.0,1,18,2,0,2/18,9.00,21.00,2.57
Pallekele International Cricket Stadium,2.2,0,19,0,0,0/19,,,8.14
Punjab Cricket Association IS Bindra Stadium,6.0,1,26,1,0,1/26,26.00,36.00,4.33
R Premadasa Stadium,7.3,0,38,2,0,2/38,19.00,22.50,5.07
Sardar Patel Stadium,8.0,1,37,3,0,3/37,12.33,16.00,4.63
Saurashtra Cricket Association Stadium,10.0,0,65,0,0,0/65,,,6.50
Sawai Mansingh Stadium,10.0,1,46,0,0,0/46,,,4.60
Seddon Park,9.0,0,64,1,0,1/64,64.00,54.00,7.11
Senwes Park,26.0,3,110,4,1,4/16,27.50,39.00,4.23
Sheikh Zayed Stadium,18.0,1,56,6,1,5/25,9.33,18.00,3.11
Shere Bangla National Stadium,18.0,4,61,2,0,2/42,30.50,54.00,3.39
Sir Vivian Richards Stadium,18.0,0,96,3,0,2/37,32.00,36.00,5.33
Sophia Gardens,6.0,0,33,2,0,2/33,16.50,18.00,5.50
St George's Park,47.5,1,249,13,2,6/39,19.15,22.08,5.21
SuperSport Park,118.1,7,560,24,1,4/27,23.33,29.54,4.74
Sydney Cricket Ground,22.2,3,89,4,0,2/47,22.25,33.50,3.99
Trent Bridge,15.0,3,61,2,0,2/24,30.50,45.00,4.07
Vidarbha Cricket Association Stadium,9.4,0,50,5,1,5/50,10.00,11.60,5.17
WACA Ground,17.4,1,97,5,0,3/35,19.40,21.20,5.49
Wanderers Stadium,69.2,5,351,9,0,3/25,39.00,46.22,5.06
Wankhede Stadium,7.0,0,38,3,0,3/38,12.67,14.00,5.43
Westpac Stadium,18.0,1,77,2,0,1/37,38.50,54.00,4.28
Willowmoore Park,30.0,1,132,6,0,3/48,22.00,30.00,4.40
Windsor Park,7.0,1,19,1,0,1/19,19.00,42.00,2.71
Overall (50),1042.4,71,5087,196,7,6/39,25.95,31.92,4.88
