0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,22/08/1993,Sri Lanka,Asgiriya Stadium,P A de Silva (c J N Rhodes),9.0,2/28,,27.00,3.11,1,14.00
,,,,U C Hathurusingha (c D J Cullinan),,,,,,2,
2.0,02/09/1993,Sri Lanka,R Premadasa Stadium,R S Kalpage (c †D J Richardson),5.0,1/20,,28.00,3.43,3,16.00
3.0,04/09/1993,Sri Lanka,R Premadasa Stadium,R P A Wickramaratne (st †D J Richardson),10.0,2/33,,28.80,3.38,4,16.20
,,,,R S Mahanama (st †D J Richardson),,,,,,5,
4.0,14/11/1993,West Indies,Brabourne Stadium,J C Adams (c J N Rhodes),8.0,3/20,,24.00,3.16,6,12.63
,,,,K L T Arthurton (st †D J Richardson),,,,,,7,
,,,,P V Simmons (c J N Rhodes),,,,,,8,
5.0,19/11/1993,Sri Lanka,Nehru Stadium (Guwahati),A Ranatunga (lbw),5.0,1/20,,24.67,3.27,9,13.44
6.0,22/11/1993,India,Punjab Cricket Association IS Bindra Stadium,,3.0,0/16,,26.67,3.43,,15.22
7.0,24/11/1993,India,Eden Gardens,,6.0,0/28,,30.67,3.59,,18.33
8.0,09/12/1993,Australia,Melbourne Cricket Ground,M J Slater (c & b),10.0,1/40,,33.60,3.66,10,20.50
9.0,18/12/1993,New Zealand,Bellerive Oval,,10.0,0/25,,39.60,3.48,,23.00
10.0,08/01/1994,New Zealand,Brisbane Cricket Ground,,7.0,0/26,,43.80,3.51,,25.60
11.0,09/01/1994,Australia,Brisbane Cricket Ground,M E Waugh (c D J Cullinan),8.0,1/47,,44.18,3.74,11,27.55
12.0,23/01/1994,Australia,Sydney Cricket Ground,,6.0,0/26,,47.45,3.78,,29.91
13.0,22/02/1994,Australia,St George's Park,,4.0,0/25,,49.64,3.89,,32.18
14.0,10/01/1995,Pakistan,Newlands,,10.0,0/30,,55.09,3.80,,34.91
15.0,15/02/1995,Australia,Basin Reserve,M E Waugh (b),10.0,1/23,,55.50,3.67,12,33.92
16.0,18/02/1995,India,Seddon Park,A Jadeja (c G Kirsten),10.0,1/20,,55.85,3.53,13,32.85
17.0,22/10/1995,Zimbabwe,Harare Sports Club,D L Houghton (c P S De Villiers),8.0,1/18,,55.29,3.45,14,31.79
18.0,14/01/1996,England,SuperSport Park,A J Stewart (c D J Cullinan),10.0,2/48,,52.13,3.55,15,30.81
,,,,G P Thorpe (c S M Pollock),,,,,,16,
19.0,21/01/1996,England,St George's Park,G A Hick (b),10.0,2/31,,49.67,3.52,17,29.11
,,,,R C Russell (c B M McMillan),,,,,,18,
20.0,20/02/1996,New Zealand,Iqbal Stadium,,10.0,0/25,,53.00,3.45,,30.50
