0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,24/01/1999,West Indies,Buffalo Park,not out,1*,2,50.00,,1,,50.00
2,26/01/2000,England,Newlands,did not bat,-,-,-,,1,,50.00
3,02/02/2000,Zimbabwe,Kingsmead,did not bat,-,-,-,,1,,50.00
4,06/02/2000,Zimbabwe,St George's Park,did not bat,-,-,-,,1,,50.00
5,13/02/2000,England,Wanderers Stadium,run out,7,9,77.78,,8,8.00,72.73
6,09/03/2000,India,Nehru Stadium (Kochi),did not bat,-,-,-,,8,8.00,72.73
7,19/03/2000,India,Vidarbha Cricket Association Ground,did not bat,-,-,-,,8,8.00,72.73
No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,,
