0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,06/12/2002,Sri Lanka,Mangaung Oval,M S Atapattu (c A J Hall),8.0,1/37,,48.00,4.63,1,37.00
2.0,18/12/2002,Pakistan,Newlands,Kamran Akmal (c G Kirsten),6.0,1/36,,42.00,5.21,2,36.50
3.0,22/02/2003,Bangladesh,Mangaung Oval,Alok Kapali (c H H Dippenaar),5.0,1/17,,38.00,4.74,3,30.00
4.0,27/02/2003,Canada,Buffalo Park,I S Billcliff (b),9.0,1/24,,42.00,4.07,4,28.50
5.0,03/03/2003,Sri Lanka,Kingsmead,,6.0,0/35,,51.00,4.38,,37.25
6.0,02/03/2005,Zimbabwe,St George's Park,H Masakadza (c H H Gibbs),10.0,2/46,,44.00,4.43,5,32.50
,,,,S Matsikenyeri (c †M V Boucher),,,,,,6,
7.0,20/08/2005,ACC Asian XI,Kingsmead,,9.0,0/64,,53.00,4.89,,43.17
8.0,15/01/2006,Australia,Brisbane Cricket Ground,R T Ponting (c & b),10.0,1/64,,54.00,5.13,7,46.14
9.0,17/01/2006,Sri Lanka,Brisbane Cricket Ground,T M Dilshan (c H H Gibbs),9.0,1/49,,54.00,5.17,8,46.50
10.0,05/02/2006,Australia,Sydney Cricket Ground,,4.0,0/42,,57.00,5.45,,51.75
11.0,31/10/2008,Kenya,Mangaung Oval,S Waters (c †M V Boucher),8.0,1/50,,56.00,5.52,9,51.56
12.0,02/11/2008,Kenya,Diamond Oval,D O Obuya (c †M V Boucher),9.0,2/40,,50.73,5.42,10,45.82
,,,,N N Odhiambo (b),,,,,,11,
