0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,01/12/1990,India,Vidarbha Cricket Association Ground,not out,8*,4,200.00,,8,,200.00
2,05/12/1990,India,Nehru Stadium (Pune),run out,0,2,0.00,,8,8.00,133.33
3,10/01/1992,Pakistan,Sports Stadium,b Aaqib Javed,4,11,36.36,,12,6.00,70.59
4,15/01/1992,Pakistan,Niaz Stadium,not out,19*,42,45.24,,31,15.50,52.54
5,17/01/1992,Pakistan,Ibn-e-Qasim Bagh Stadium,not out,5*,4,125.00,,36,18.00,57.14
6,19/01/1992,Pakistan,Rawalpindi Cricket Stadium,run out,3,12,25.00,,39,13.00,52.00
7,15/08/1992,Australia,P Sara Oval,c M E Waugh b M R Whitney,4,8,50.00,,43,10.75,51.81
8,03/04/1996,India,Padang Cricket Ground,lbw b J Srinath,10,17,58.82,,53,10.60,53.00
9,03/09/1996,Zimbabwe,Sinhalese Sports Club Ground,did not bat,-,-,-,,53,10.60,53.00
10,11/11/1996,New Zealand,Sharjah Cricket Stadium,c & b D K Morrison,16,20,80.00,,69,11.50,57.50
11,12/11/1996,Pakistan,Sharjah Cricket Stadium,run out,58,100,58.00,,127,18.14,57.73
12,03/04/1997,Zimbabwe,Sharjah Cricket Stadium,not out,52*,120,43.33,,179,25.57,52.65
13,04/04/1997,Pakistan,Sharjah Cricket Stadium,c Mushtaq Ahmed b Saleem Malik,94,118,79.66,,273,34.13,59.61
14,07/04/1997,Pakistan,Sharjah Cricket Stadium,lbw b Waqar Younis,0,5,0.00,,273,30.33,58.96
15,08/04/1997,Zimbabwe,Sharjah Cricket Stadium,run out,14,32,43.75,,287,28.70,57.98
16,11/04/1997,Pakistan,Sharjah Cricket Stadium,lbw b Mushtaq Ahmed,29,49,59.18,,316,28.73,58.09
17,12/05/1997,Pakistan,Captain Roop Singh Stadium,c Ijaz Ahmed b Aaqib Javed,0,4,0.00,,316,26.33,57.66
18,17/05/1997,India,Wankhede Stadium,run out,38,69,55.07,,354,27.23,57.37
19,20/05/1997,New Zealand,Lal Bahadur Shastri Stadium,run out,41,57,71.93,,395,28.21,58.61
20,24/05/1997,Pakistan,Punjab Cricket Association IS Bindra Stadium,lbw b Mohammad Hussain,53,72,73.61,,448,29.87,60.05
21,27/05/1997,Pakistan,Eden Gardens,c sub b Arshad Khan,29,30,96.67,,477,29.81,61.47
22,06/06/1997,West Indies,Queen's Park Oval,c C L Hooper b C A Walsh,1,7,14.29,,478,28.12,61.05
23,14/07/1997,Pakistan,R Premadasa Stadium,run out,80,113,70.80,,558,31.00,62.28
24,18/07/1997,India,R Premadasa Stadium,lbw b R R Singh,31,57,54.39,,589,31.00,61.80
25,22/07/1997,Bangladesh,Sinhalese Sports Club Ground,c Aminul Islam b Minhajul Abedin,60,74,81.08,,649,32.45,63.19
26,26/07/1997,India,R Premadasa Stadium,not out,84*,101,83.17,,733,36.65,64.98
27,17/08/1997,India,R Premadasa Stadium,run out,118,153,77.12,,851,40.52,66.43
28,20/08/1997,India,R Premadasa Stadium,lbw b A Kuruvilla,38,43,88.37,,889,40.41,67.15
29,23/08/1997,India,Sinhalese Sports Club Ground,run out,21,28,75.00,,910,39.57,67.31
30,24/08/1997,India,Sinhalese Sports Club Ground,c M Azharuddin b A Kuruvilla,3,12,25.00,,913,38.04,66.94
31,01/11/1997,West Indies,Gaddafi Stadium,c C L Hooper b C A Walsh,1,10,10.00,,914,36.56,66.52
32,05/11/1997,Pakistan,Gaddafi Stadium,run out,23,34,67.65,,937,36.04,66.55
33,06/11/1997,South Africa,Gaddafi Stadium,c S M Pollock b L Klusener,25,40,62.50,,962,35.63,66.44
34,08/11/1997,South Africa,Gaddafi Stadium,c W J Cronje b L Klusener,22,61,36.07,,984,35.14,65.21
35,22/12/1997,India,Nehru Stadium (Guwahati),c †N R Mongia b D S Mohanty,8,21,38.10,,992,34.21,64.84
36,28/12/1997,India,Nehru Stadium (Margao),c M Azharuddin b D S Mohanty,14,34,41.18,,1006,33.53,64.32
37,22/01/1998,Zimbabwe,Sinhalese Sports Club Ground,b J A Rennie,26,38,68.42,,1032,33.29,64.42
38,24/01/1998,Zimbabwe,R Premadasa Stadium,c P A Strang b G W Flower,45,80,56.25,,1077,33.66,64.03
39,05/04/1998,South Africa,Wanderers Stadium,c J N Rhodes b R Telemachus,4,17,23.53,,1081,32.76,63.63
40,13/04/1998,South Africa,St George's Park,b J H Kallis,63,78,80.77,,1144,33.65,64.38
41,15/04/1998,Pakistan,Willowmoore Park,b Wasim Akram,94,123,76.42,,1238,35.37,65.16
42,19/04/1998,South Africa,Mangaung Oval,b S M Pollock,4,10,40.00,,1242,34.50,65.03
43,19/06/1998,India,R Premadasa Stadium,b A Kumble,70,89,78.65,,1312,35.46,65.63
44,21/06/1998,New Zealand,R Premadasa Stadium,not out,83*,118,70.34,,1395,37.70,65.90
45,01/07/1998,India,Sinhalese Sports Club Ground,c R R Singh b A B Agarkar,12,18,66.67,,1407,37.03,65.90
46,05/07/1998,New Zealand,Sinhalese Sports Club Ground,not out,6*,3,200.00,,1413,37.18,66.09
47,07/07/1998,India,R Premadasa Stadium,c B K V Prasad b Harbhajan Singh,39,51,76.47,,1452,37.23,66.33
48,14/08/1998,South Africa,Trent Bridge,st M V Boucher b P L Symcox,40,60,66.67,,1492,37.30,66.34
49,16/08/1998,England,Lord's,lbw b D Gough,6,9,66.67,,1498,36.54,66.34
50,20/08/1998,England,Lord's,not out,132*,151,87.42,,1630,39.76,67.66
51,26/10/1998,New Zealand,Bangabandhu National Stadium,c †A C Parore b S B Doull,3,11,27.27,,1633,38.88,67.48
52,30/10/1998,South Africa,Bangabandhu National Stadium,c D J Cullinan b P L Symcox,19,23,82.61,,1652,38.42,67.62
53,06/11/1998,India,Sharjah Cricket Stadium,lbw b J Srinath,64,93,68.82,,1716,39.00,67.67
54,07/11/1998,Zimbabwe,Sharjah Cricket Stadium,lbw b E A Brandes,0,1,0.00,,1716,38.13,67.64
55,09/11/1998,India,Sharjah Cricket Stadium,b A B Agarkar,10,14,71.43,,1726,37.52,67.66
56,10/11/1998,Zimbabwe,Sharjah Cricket Stadium,c A D R Campbell b P A Strang,24,41,58.54,,1750,37.23,67.52
57,11/01/1999,England,Brisbane Cricket Ground,b A J Hollioake,51,90,56.67,,1801,37.52,67.15
58,13/01/1999,Australia,Sydney Cricket Ground,c M E Waugh b S K Warne,18,23,78.26,,1819,37.12,67.25
59,19/01/1999,England,Melbourne Cricket Ground,c G A Hick b D Gough,1,11,9.09,,1820,36.40,67.01
60,21/01/1999,Australia,Bellerive Oval,run out,82,121,67.77,,1902,37.29,67.04
61,23/01/1999,England,Adelaide Oval,c N H Fairbrother b A D Mullally,3,12,25.00,,1905,36.63,66.87
62,24/01/1999,Australia,Adelaide Oval,c S K Warne b G D McGrath,0,2,0.00,,1905,35.94,66.82
63,29/01/1999,England,WACA Ground,c N V Knight b M A Ealham,17,36,47.22,,1922,35.59,66.57
64,31/01/1999,Australia,WACA Ground,run out,34,55,61.82,,1956,35.56,66.49
65,03/02/1999,England,Sydney Cricket Ground,lbw b M W Alleyne,4,15,26.67,,1960,35.00,66.28
66,07/02/1999,Australia,Melbourne Cricket Ground,b D S Lehmann,12,19,63.16,,1972,34.60,66.26
67,19/03/1999,Pakistan,Keenan Stadium,b Wasim Akram,22,27,81.48,,1994,34.38,66.40
68,27/03/1999,Pakistan,Indira Priyadarshini Stadium,c Imran Nazir b Azhar Mahmood,28,42,66.67,,2022,34.27,66.40
69,30/03/1999,India,Nehru Stadium (Pune),c S C Ganguly b A B Agarkar,6,12,50.00,,2028,33.80,66.34
70,14/05/1999,England,Lord's,c G P Thorpe b I D Austin,3,9,33.33,,2031,33.30,66.24
71,19/05/1999,South Africa,County Ground (Northampton),c †M V Boucher b J H Kallis,1,10,10.00,,2032,32.77,66.06
72,22/05/1999,Zimbabwe,New Road,c A D R Campbell b H H Streak,54,90,60.00,,2086,33.11,65.89
73,26/05/1999,India,The Cooper Associates County Ground,lbw b D S Mohanty,29,29,100.00,,2115,33.05,66.20
