0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,20.0,0,85,2,0,2/44,42.50,60.00,4.25
AMI Stadium,4.0,0,22,0,0,0/22,,,5.50
Arnos Vale Ground,4.0,0,25,1,0,1/25,25.00,24.00,6.25
Asgiriya Stadium,8.0,0,41,0,0,0/41,,,5.13
Bangabandhu National Stadium,36.0,0,159,3,0,2/39,53.00,72.00,4.42
Bellerive Oval,7.0,0,44,0,0,0/44,,,6.29
Boland Park,4.0,0,19,1,0,1/19,19.00,24.00,4.75
Brisbane Cricket Ground,10.0,1,41,1,0,1/41,41.00,60.00,4.10
Buffalo Park,7.0,0,43,0,0,0/43,,,6.14
County Ground (Bristol),8.0,0,44,1,0,1/44,44.00,48.00,5.50
County Ground (Northampton),7.0,0,26,0,0,0/26,,,3.71
County Ground (Southampton),1.0,0,13,0,0,0/13,,,13.00
Diamond Oval,6.0,0,42,0,0,0/42,,,7.00
Eden Park,7.0,1,29,1,0,1/29,29.00,42.00,4.14
Edgbaston,6.1,0,32,0,0,0/32,,,5.19
Gaddafi Stadium,32.0,1,179,5,0,3/56,35.80,38.40,5.59
Galle International Stadium,11.0,0,54,4,1,4/44,13.50,16.50,4.91
Gymkhana Club Ground,13.2,1,56,0,0,0/22,,,4.20
Harare Sports Club,39.0,1,152,9,0,3/21,16.89,26.00,3.90
Headingley,5.0,0,40,0,0,0/40,,,8.00
Indira Priyadarshini Stadium,3.0,0,21,1,0,1/21,21.00,18.00,7.00
Jinnah Stadium (Gujwranwala),5.0,0,28,1,0,1/28,28.00,30.00,5.60
Keenan Stadium,10.0,0,49,2,0,2/49,24.50,30.00,4.90
Kennington Oval,19.0,1,85,3,0,2/39,28.33,38.00,4.47
Kensington Oval,4.0,0,40,0,0,0/40,,,10.00
Lord's,7.0,0,38,1,0,1/38,38.00,42.00,5.43
Madhavrao Scindia Cricket Ground,5.0,0,32,1,0,1/32,32.00,30.00,6.40
Melbourne Cricket Ground,7.2,0,38,0,0,0/38,,,5.18
National Cricket Stadium (Tangier),41.0,0,179,8,0,3/32,22.38,30.75,4.37
National Stadium (Karachi),9.0,0,69,1,0,1/38,69.00,54.00,7.67
Nehru Stadium (Guwahati),3.0,0,20,0,0,0/20,,,6.67
Nehru Stadium (Pune),8.0,0,46,1,0,1/46,46.00,48.00,5.75
Old Trafford,9.4,1,25,1,0,1/25,25.00,58.00,2.59
Padang Cricket Ground,10.0,0,52,0,0,0/52,,,5.20
Queen's Park Oval,10.0,0,40,1,0,1/40,40.00,60.00,4.00
Queens Sports Club,22.0,1,91,3,0,2/28,30.33,44.00,4.14
R Premadasa Stadium,232.1,3,1011,42,1,4/35,24.07,33.17,4.35
Rangiri Dambulla International Stadium,79.5,3,349,13,1,4/22,26.85,36.85,4.37
Rawalpindi Cricket Stadium,6.0,0,15,3,0,3/15,5.00,12.00,2.50
Reliance Stadium,6.0,0,32,1,0,1/32,32.00,36.00,5.33
Sawai Mansingh Stadium,10.0,0,83,0,0,0/83,,,8.30
Sharjah Cricket Stadium,96.0,2,410,10,0,3/40,41.00,57.60,4.27
Sinhalese Sports Club Ground,102.1,2,455,23,2,5/61,19.78,26.65,4.45
St George's Park,9.0,0,42,1,0,1/42,42.00,54.00,4.67
SuperSport Park,7.0,1,47,0,0,0/47,,,6.71
Sydney Cricket Ground,18.0,0,96,3,0,3/35,32.00,36.00,5.33
The Rose Bowl,9.0,0,64,0,0,0/64,,,7.11
Trent Bridge,10.0,0,43,0,0,0/43,,,4.30
Vidarbha Cricket Association Ground,12.0,0,85,0,0,0/41,,,7.08
WACA Ground,8.0,0,39,0,0,0/39,,,4.88
Wanderers Stadium,10.0,1,48,3,0,3/48,16.00,20.00,4.80
Overall (51),1023.4,20,4818,151,5,5/61,31.91,40.68,4.71
