0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,22/08/1999,Australia,Galle International Stadium,24,24,24.00,,0,,,0,,,,25 years 353 days
2.0,25/08/1999,India,R Premadasa Stadium,24*,48,48.00,,0,,1,1,,,,25 years 356 days
3.0,26/08/1999,Australia,R Premadasa Stadium,1,49,24.50,,0,,2,3,,,,25 years 357 days
4.0,31/08/1999,Australia,R Premadasa Stadium,-,49,24.50,,0,,,3,,,,25 years 362 days
5.0,19/12/1999,Zimbabwe,Harare Sports Club,7,56,18.67,,0,,,3,,,,26 years 107 days
6.0,13/02/2000,Pakistan,National Stadium (Karachi),5,61,15.25,,0,,1,4,,,,26 years 163 days
7.0,16/02/2000,Pakistan,Jinnah Stadium (Gujwranwala),12,73,14.60,,0,,,4,,,,26 years 166 days
8.0,23/03/2001,England,Rangiri Dambulla International Stadium,6*,79,15.80,,0,,1,5,,,,27 years 202 days
9.0,25/03/2001,England,R Premadasa Stadium,14,93,15.50,,0,,,5,,,,27 years 204 days
10.0,27/03/2001,England,Sinhalese Sports Club Ground,-,93,15.50,,0,,1,6,,,,27 years 206 days
11.0,08/04/2001,Pakistan,Sharjah Cricket Stadium,38,131,18.71,,0,,,6,,,,27 years 218 days
12.0,10/04/2001,New Zealand,Sharjah Cricket Stadium,21,152,19.00,,0,,1,7,,,,27 years 220 days
13.0,13/04/2001,Pakistan,Sharjah Cricket Stadium,8,160,17.78,,0,,2,9,,,,27 years 223 days
14.0,17/04/2001,New Zealand,Sharjah Cricket Stadium,11,171,17.10,,0,,,9,,,,27 years 227 days
15.0,20/04/2001,Pakistan,Sharjah Cricket Stadium,12,183,16.64,,0,,,9,,,,27 years 230 days
