0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Barabati Stadium,9.0,1,59,1,0,1/59,59.00,54.00,6.56
Dubai International Cricket Stadium,8.0,0,49,1,0,1/49,49.00,48.00,6.13
JSCA International Stadium Complex,4.0,0,25,0,0,0/25,,,6.25
Mahinda Rajapaksha International Cricket Stadium,10.0,0,62,1,0,1/62,62.00,60.00,6.20
Rajiv Gandhi International Stadium,6.0,0,50,0,0,0/50,,,8.33
Sardar Patel Stadium,8.0,1,28,0,0,0/28,,,3.50
Sharjah Cricket Stadium,5.0,0,27,1,0,1/27,27.00,30.00,5.40
Sheikh Zayed Stadium,17.0,1,92,5,1,4/57,18.40,20.40,5.41
Overall (8),67.0,3,392,9,1,4/57,43.56,44.67,5.85
