0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,13/03/1992,West Indies,Berri Oval,K L T Arthurton (c †H P Tillakaratne),8.0,4/57,,12.00,7.13,1,14.25
,,,,C L Hooper (c A P Gurusinha),,,,,,2,
,,,,P V Simmons (c G P Wickramasinghe),,,,,,3,
,,,,D Williams (c †H P Tillakaratne),,,,,,4,
2.0,15/03/1992,Pakistan,WACA Ground,Imran Khan (c P A de Silva),9.0,1/40,,20.40,5.71,5,19.40
3.0,04/09/1992,Australia,R Premadasa Stadium,,10.0,0/34,,32.40,4.85,,26.20
4.0,05/09/1992,Australia,R Premadasa Stadium,M A Taylor (c A P Gurusinha),10.0,1/38,,37.00,4.57,6,28.17
5.0,04/12/1992,New Zealand,R Premadasa Stadium,,10.0,0/20,,47.00,4.02,,31.50
6.0,12/12/1992,New Zealand,P Sara Oval,,3.0,0/16,,50.00,4.10,,34.17
7.0,13/12/1992,New Zealand,R Premadasa Stadium,,2.0,0/16,,52.00,4.25,,36.83
8.0,02/02/1993,Pakistan,Sharjah Cricket Stadium,,3.0,0/19,,55.00,4.36,,40.00
9.0,10/03/1993,England,R Premadasa Stadium,G A Hick (c R S Mahanama),6.0,1/28,,52.29,4.39,7,38.29
10.0,20/03/1993,England,Tyronne Fernando Stadium,,2.0,0/13,,54.00,4.46,,40.14
11.0,25/07/1993,India,R Premadasa Stadium,,4.0,0/24,,57.43,4.55,,43.57
12.0,12/08/1993,India,R Premadasa Stadium,,5.0,0/14,,61.71,4.43,,45.57
13.0,14/08/1993,India,Tyronne Fernando Stadium,,3.0,0/12,,64.29,4.41,,47.29
14.0,02/09/1993,South Africa,R Premadasa Stadium,,3.0,0/14,,66.86,4.42,,49.29
15.0,04/09/1993,South Africa,R Premadasa Stadium,P L Symcox (c R S Kalpage),10.0,2/18,,58.67,4.13,8,40.33
,,,,B M McMillan (c R S Mahanama),,,,,,9,
16.0,28/10/1993,West Indies,Sharjah Cricket Stadium,,2.0,0/10,,60.00,4.14,,41.44
17.0,09/11/1993,West Indies,Wankhede Stadium,,2.0,0/22,,61.33,4.29,,43.89
18.0,12/10/1995,Pakistan,Sharjah Cricket Stadium,,10.0,0/39,,68.00,4.25,,48.22
19.0,16/10/1995,West Indies,Sharjah Cricket Stadium,P V Simmons (b),10.0,2/67,,61.09,4.47,10,45.55
,,,,O D Gibson (c R S Mahanama),,,,,,11,
20.0,17/10/1995,Pakistan,Sharjah Cricket Stadium,Saleem Elahi (c †R S Kaluwitharana),10.0,1/33,,61.00,4.38,12,44.50
21.0,20/10/1995,West Indies,Sharjah Cricket Stadium,,8.0,0/30,,65.00,4.34,,47.00
22.0,03/01/1996,West Indies,Bellerive Oval,S L Campbell (c †R S Kaluwitharana),10.0,2/50,,60.00,4.39,13,43.86
,,,,O D Gibson (c P A de Silva),,,,,,14,
23.0,14/08/1998,South Africa,Trent Bridge,,6.0,0/33,,62.57,4.43,,46.21
24.0,16/08/1998,England,Lord's,,3.0,0/23,,63.86,4.50,,47.86
25.0,19/03/1999,Pakistan,Keenan Stadium,,10.0,0/39,,68.14,4.46,,50.64
