0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,25/04/2004,Zimbabwe,Harare Sports Club,-,0,,,0,,,0,,,,26 years 37 days
2.0,27/04/2004,Zimbabwe,Harare Sports Club,0*,0,,0/37,0,,,0,,,,26 years 39 days
3.0,29/04/2004,Zimbabwe,Harare Sports Club,-,0,,2/36,2,36.50,2,2,,,,26 years 41 days
4.0,22/08/2004,South Africa,R Premadasa Stadium,-,0,,0/29,2,51.00,,2,,,,26 years 156 days
5.0,25/08/2004,South Africa,Rangiri Dambulla International Stadium,-,0,,3/28,5,26.00,1,3,,,,26 years 159 days
6.0,31/08/2004,South Africa,Sinhalese Sports Club Ground,-,0,,0/19,5,29.80,,3,,,,26 years 165 days
7.0,22/06/2010,India,Rangiri Dambulla International Stadium,-,0,,2/31,7,25.71,,3,,,,32 years 95 days
8.0,13/08/2010,New Zealand,Rangiri Dambulla International Stadium,2,2,2.00,2/35,9,23.89,1,4,,,,32 years 147 days
9.0,20/08/2010,New Zealand,Rangiri Dambulla International Stadium,-,2,2.00,,9,23.89,,4,,,,32 years 154 days
10.0,03/02/2011,West Indies,Sinhalese Sports Club Ground,-,2,2.00,1/33,10,24.80,,4,,,,32 years 321 days
11.0,06/02/2011,West Indies,Sinhalese Sports Club Ground,2,4,2.00,1/54,11,27.45,,4,,,,32 years 324 days
12.0,26/02/2011,Pakistan,R Premadasa Stadium,4*,8,4.00,2/46,13,26.77,,4,,,,32 years 344 days
13.0,05/03/2011,Australia,R Premadasa Stadium,-,8,4.00,,13,26.77,,4,,,,32 years 351 days
14.0,26/03/2011,England,R Premadasa Stadium,-,8,4.00,0/47,13,30.38,,4,,,,33 years 6 days
15.0,29/03/2011,New Zealand,R Premadasa Stadium,-,8,4.00,1/31,14,30.43,,4,,,,33 years 9 days
16.0,14/08/2011,Australia,Mahinda Rajapaksha International Cricket Stadium,9,17,5.67,0/57,14,34.50,,4,,,,33 years 147 days
17.0,14/01/2012,South Africa,Buffalo Park,-,17,5.67,0/40,14,37.36,,4,,,,33 years 300 days
18.0,17/01/2012,South Africa,Mangaung Oval,1*,18,6.00,0/24,14,39.07,,4,,,,33 years 303 days
19.0,20/01/2012,South Africa,Diamond Oval,-,18,6.00,2/45,16,37.00,,4,,,,33 years 306 days
20.0,22/01/2012,South Africa,Wanderers Stadium,1*,19,6.33,0/43,16,39.69,,4,,,,33 years 308 days
21.0,14/02/2012,India,Adelaide Oval,1*,20,6.67,0/33,16,41.75,,4,,,,33 years 331 days
22.0,17/02/2012,Australia,Sydney Cricket Ground,-,20,6.67,1/12,17,40.00,,4,,,,33 years 334 days
23.0,21/02/2012,India,Brisbane Cricket Ground,-,20,6.67,0/35,17,42.06,,4,,,,33 years 338 days
24.0,24/02/2012,Australia,Bellerive Oval,-,20,6.67,1/45,18,42.22,,4,,,,33 years 341 days
25.0,28/02/2012,India,Bellerive Oval,-,20,6.67,0/20,18,43.33,,4,,,,33 years 345 days
26.0,02/03/2012,Australia,Melbourne Cricket Ground,14*,34,11.33,1/43,19,43.32,,4,,,,33 years 348 days
27.0,04/03/2012,Australia,Brisbane Cricket Ground,5,39,9.75,1/36,20,42.95,2,6,,,,33 years 350 days
28.0,06/03/2012,Australia,Adelaide Oval,-,39,9.75,0/58,20,45.85,,6,,,,33 years 352 days
29.0,08/03/2012,Australia,Adelaide Oval,0,39,7.80,3/36,23,41.43,1,7,,,,33 years 354 days
30.0,07/06/2012,Pakistan,Pallekele International Cricket Stadium,0*,39,7.80,1/18,24,40.46,,7,,,,34 years 80 days
31.0,09/06/2012,Pakistan,Pallekele International Cricket Stadium,-,39,7.80,0/37,24,42.00,,7,,,,34 years 82 days
32.0,21/07/2012,India,Mahinda Rajapaksha International Cricket Stadium,0,39,6.50,0/52,24,44.17,,7,,,,34 years 124 days
33.0,24/07/2012,India,Mahinda Rajapaksha International Cricket Stadium,-,39,6.50,1/21,25,43.24,,7,,,,34 years 127 days
34.0,28/07/2012,India,R Premadasa Stadium,-,39,6.50,1/36,26,42.96,1,8,,,,34 years 131 days
35.0,31/07/2012,India,R Premadasa Stadium,17*,56,9.33,0/44,26,44.65,,8,,,,34 years 134 days
36.0,04/11/2012,New Zealand,Pallekele International Cricket Stadium,-,56,9.33,1/28,27,44.04,,8,,,,34 years 230 days
37.0,06/11/2012,New Zealand,Pallekele International Cricket Stadium,-,56,9.33,0/20,27,44.78,,8,,,,34 years 232 days
38.0,10/11/2012,New Zealand,Mahinda Rajapaksha International Cricket Stadium,-,56,9.33,1/23,28,44.00,,8,,,,34 years 236 days
39.0,20/01/2013,Australia,Sydney Cricket Ground,-,56,9.33,2/37,30,42.30,,8,,,,34 years 307 days
40.0,23/01/2013,Australia,Bellerive Oval,2,58,8.29,0/34,30,43.43,,8,,,,34 years 310 days
41.0,09/06/2013,New Zealand,Sophia Gardens,8*,66,9.43,1/36,31,43.19,,8,,,,35 years 82 days
42.0,13/06/2013,England,Kennington Oval,-,66,9.43,2/46,33,41.97,,8,,,,35 years 86 days
43.0,17/06/2013,Australia,Kennington Oval,2,68,8.50,2/48,35,40.94,,8,,,,35 years 90 days
44.0,20/06/2013,India,Sophia Gardens,-,68,8.50,0/14,35,41.34,,8,,,,35 years 93 days
45.0,28/06/2013,West Indies,Sabina Park,4,72,8.00,1/37,36,41.22,,8,,,,35 years 101 days
46.0,02/07/2013,India,Sabina Park,-,72,8.00,3/37,39,39.00,,8,,,,35 years 105 days
47.0,09/07/2013,India,Queen's Park Oval,4,76,7.60,2/32,41,37.88,,8,,,,35 years 112 days
48.0,11/07/2013,India,Queen's Park Oval,5,81,7.36,4/20,45,34.96,,8,,,,35 years 114 days
49.0,20/07/2013,South Africa,R Premadasa Stadium,-,81,7.36,3/25,48,33.29,,8,,,,35 years 123 days
50.0,23/07/2013,South Africa,R Premadasa Stadium,13,94,7.83,2/16,50,32.28,,8,,,,35 years 126 days
51.0,26/07/2013,South Africa,Pallekele International Cricket Stadium,12*,106,8.83,0/21,50,32.70,,8,,,,35 years 129 days
52.0,28/07/2013,South Africa,Pallekele International Cricket Stadium,-,106,8.83,1/38,51,32.80,,8,,,,35 years 131 days
53.0,10/11/2013,New Zealand,Mahinda Rajapaksha International Cricket Stadium,0*,106,8.83,,51,32.80,,8,,,,35 years 236 days
54.0,12/11/2013,New Zealand,Mahinda Rajapaksha International Cricket Stadium,-,106,8.83,0/43,51,33.65,,8,,,,35 years 238 days
55.0,16/11/2013,New Zealand,Rangiri Dambulla International Stadium,17*,123,10.25,3/25,54,32.24,1,9,,,,35 years 242 days
56.0,28/05/2014,England,Old Trafford,0*,123,10.25,0/29,54,32.78,,9,,,,36 years 70 days
57.0,12/07/2014,South Africa,Mahinda Rajapaksha International Cricket Stadium,1,124,9.54,2/48,56,32.46,,9,,,,36 years 115 days
58.0,23/08/2014,Pakistan,Mahinda Rajapaksha International Cricket Stadium,-,124,9.54,1/49,57,32.75,,9,,,,36 years 157 days
59.0,26/08/2014,Pakistan,Mahinda Rajapaksha International Cricket Stadium,-,124,9.54,2/38,59,32.29,2,11,,,,36 years 160 days
60.0,30/08/2014,Pakistan,Rangiri Dambulla International Stadium,-,124,9.54,1/6,60,31.85,,11,,,,36 years 164 days
61.0,26/11/2014,England,R Premadasa Stadium,-,124,9.54,2/58,62,31.76,,11,,,,36 years 252 days
62.0,29/11/2014,England,R Premadasa Stadium,-,124,9.54,1/40,63,31.89,,11,,,,36 years 255 days
63.0,03/12/2014,England,Mahinda Rajapaksha International Cricket Stadium,2*,126,9.69,1/41,64,32.03,,11,,,,36 years 259 days
64.0,07/12/2014,England,R Premadasa Stadium,-,126,9.69,3/36,67,31.13,,11,,,,36 years 263 days
65.0,15/01/2015,New Zealand,Seddon Park,-,126,9.69,2/36,69,30.75,,11,,,,36 years 302 days
66.0,20/01/2015,New Zealand,Saxton Oval,0,126,9.00,1/39,70,30.87,,11,,,,36 years 307 days
67.0,25/01/2015,New Zealand,University Oval,1*,127,9.07,1/45,71,31.07,,11,,,,36 years 312 days
68.0,14/02/2015,New Zealand,Hagley Oval,13,140,9.33,1/37,72,31.15,,11,,,,36 years 332 days
69.0,22/02/2015,Afghanistan,University Oval,-,140,9.33,1/41,73,31.29,2,13,,,,36 years 340 days
70.0,26/02/2015,Bangladesh,Melbourne Cricket Ground,-,140,9.33,0/43,73,31.88,1,14,,,,36 years 344 days
71.0,01/03/2015,England,Westpac Stadium,-,140,9.33,1/35,74,31.92,,14,,,,36 years 347 days
