0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,8.0,0,41,1,0,1/41,41.00,48.00,5.13
AMI Stadium,8.0,0,54,0,0,0/54,,,6.75
Asgiriya Stadium,1.0,0,3,0,0,0/3,,,3.00
Basin Reserve,10.0,0,38,1,0,1/38,38.00,60.00,3.80
Berri Oval,10.0,0,64,0,0,0/64,,,6.40
Buffalo Park,7.0,1,42,1,0,1/42,42.00,42.00,6.00
Eden Gardens,9.5,0,47,0,0,0/47,,,4.78
Eden Park,9.3,0,47,3,0,3/47,15.67,19.00,4.95
Gandhi Stadium,10.0,0,36,1,0,1/36,36.00,60.00,3.60
Green Park,8.0,0,27,0,0,0/27,,,3.38
Harare Sports Club,30.0,2,101,2,0,2/27,50.50,90.00,3.37
Indira Priyadarshini Stadium,9.0,0,61,2,0,2/61,30.50,27.00,6.78
Jinnah Stadium (Gujwranwala),6.0,0,32,0,0,0/32,,,5.33
Keenan Stadium,10.0,0,46,0,0,0/46,,,4.60
Kingsmead,10.0,0,40,1,0,1/40,40.00,60.00,4.00
Lal Bahadur Shastri Stadium,10.0,0,47,0,0,0/47,,,4.70
Madhavrao Scindia Cricket Ground,10.0,0,37,1,0,1/37,37.00,60.00,3.70
Mangaung Oval,10.0,0,42,2,0,2/42,21.00,30.00,4.20
Melbourne Cricket Ground,4.0,0,24,0,0,0/24,,,6.00
Moin-ul-Haq Stadium,6.0,0,46,1,0,1/46,46.00,36.00,7.67
National Stadium (Karachi),8.0,0,37,0,0,0/37,,,4.63
Nehru Stadium (Guwahati),10.0,1,40,0,0,0/40,,,4.00
Nehru Stadium (Pune),6.0,0,44,0,0,0/44,,,7.33
P Sara Oval,37.0,2,165,6,0,2/34,27.50,37.00,4.46
Pukekura Park,10.0,0,51,0,0,0/51,,,5.10
R Premadasa Stadium,137.0,4,561,27,2,4/36,20.78,30.44,4.09
Rawalpindi Cricket Stadium,4.0,0,26,1,0,1/26,26.00,24.00,6.50
Seddon Park,17.0,0,68,3,0,2/33,22.67,34.00,4.00
Sharjah Cricket Stadium,101.4,5,449,6,0,3/38,74.83,101.67,4.42
Sinhalese Sports Club Ground,63.0,3,276,5,0,2/48,55.20,75.60,4.38
Sports Stadium,7.0,1,32,0,0,0/32,,,4.57
St George's Park,10.0,1,51,1,0,1/51,51.00,60.00,5.10
SuperSport Park,10.0,0,41,2,0,2/41,20.50,30.00,4.10
Sydney Cricket Ground,10.0,0,47,2,0,2/47,23.50,30.00,4.70
Tyronne Fernando Stadium,20.0,0,72,1,0,1/27,72.00,120.00,3.60
Vidarbha Cricket Association Ground,9.0,0,44,0,0,0/44,,,4.89
WACA Ground,4.0,0,32,0,0,0/14,,,8.00
Wankhede Stadium,10.0,0,64,3,0,3/64,21.33,20.00,6.40
Overall (38),660.0,20,2975,73,2,4/36,40.75,54.25,4.51
