0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,30/11/2008,Zimbabwe,Harare Sports Club,,1.0,0/3,,,3.00,,
2.0,07/08/2009,Pakistan,R Premadasa Stadium,,2.0,0/16,,,6.33,,
3.0,27/09/2009,New Zealand,Wanderers Stadium,,1.0,0/2,,,5.25,,
4.0,15/12/2009,India,Madhavrao Scindia Cricket Ground,,5.0,0/49,,,7.78,,
5.0,04/01/2010,Bangladesh,Shere Bangla National Stadium,,5.0,0/21,,,6.50,,
6.0,05/01/2010,India,Shere Bangla National Stadium,,4.0,0/22,,,6.28,,
7.0,22/06/2010,India,Rangiri Dambulla International Stadium,,3.0,0/14,,,6.05,,
8.0,24/06/2010,India,Rangiri Dambulla International Stadium,M S Dhoni (c K M D N Kulasekara),7.0,2/37,,84.00,5.86,1,82.00
,,,,K D Karthik (c D P M D Jayawardene),,,,,,2,
9.0,03/07/2011,England,Lord's,,1.0,0/9,,87.00,5.97,,86.50
