0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,18/12/2009,India,Vidarbha Cricket Association Stadium,,8.0,0/57,,,7.13,,
2.0,24/12/2009,India,Eden Gardens,V Sehwag (c T M Dilshan),10.0,2/55,,54.00,6.22,1,56.00
,,,,S R Tendulkar (c S Randiv),,,,,,2,
3.0,04/01/2010,Bangladesh,Shere Bangla National Stadium,Shakib Al Hasan (c U W M B C A Welegedara),9.0,2/63,,40.50,6.48,3,43.75
,,,,Raqibul Hasan (c T T Samaraweera),,,,,,4,
4.0,05/01/2010,India,Shere Bangla National Stadium,,8.0,0/48,,52.50,6.37,,55.75
5.0,10/01/2010,India,Shere Bangla National Stadium,,10.0,0/75,,67.50,6.62,,74.50
6.0,28/06/2011,England,Kennington Oval,I J L Trott (lbw),7.0,2/52,,52.00,6.73,5,58.33
,,,,E J G Morgan (c S H T Kandamby),,,,,,6,
7.0,01/07/2011,England,Headingley,C Kieswetter (c K M D N Kulasekara),7.5,3/43,,39.89,6.57,7,43.67
,,,,J W Dernbach (c K M D N Kulasekara),,,,,,8,
,,,,I J L Trott (b),,,,,,9,
8.0,03/07/2011,England,Lord's,I J L Trott (c T M Dilshan),10.0,2/62,,38.09,6.52,10,41.36
,,,,I R Bell (c K M D N Kulasekara),,,,,,11,
9.0,06/07/2011,England,Trent Bridge,,2.0,0/12,,39.18,6.50,,42.45
10.0,10/08/2011,Australia,Pallekele International Cricket Stadium,,5.0,0/39,,41.91,6.59,,46.00
11.0,11/11/2011,Pakistan,Dubai International Cricket Stadium,Imran Farhat (lbw),4.0,2/16,,37.31,6.46,12,40.15
,,,,Mohammad Hafeez (c C K B Kulasekara),,,,,,13,
12.0,13/03/2012,India,Shere Bangla National Stadium,S R Tendulkar (c D P M D Jayawardene),10.0,1/67,,38.93,6.48,14,42.07
13.0,15/03/2012,Pakistan,Shere Bangla National Stadium,Nasir Jamshed (c W U Tharanga),8.0,2/37,,37.06,6.33,15,39.13
,,,,Younis Khan (c M F Maharoof),,,,,,16,
14.0,20/03/2012,Bangladesh,Shere Bangla National Stadium,Jahurul Islam (c C K Kapugedera),7.1,1/44,,37.41,6.32,17,39.41
15.0,11/07/2013,India,Queen's Park Oval,S K Raina (c †K C Sangakkara),10.0,1/33,,38.67,6.06,18,39.06
16.0,31/07/2013,South Africa,R Premadasa Stadium,L L Tsotsobe (b),5.5,3/22,,34.81,5.95,19,34.52
,,,,D A Miller (c †K C Sangakkara),,,,,,20,
,,,,F Behardien (c A D Mathews),,,,,,21,
17.0,18/12/2013,Pakistan,Sharjah Cricket Stadium,Ahmed Shehzad (lbw),10.0,2/73,,34.39,6.05,22,34.70
