0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Gaddafi Stadium,9.0,0,57,1,0,1/57,57.00,54.00,6.33
Green Park,7.0,0,40,1,0,1/40,40.00,42.00,5.71
Moin-ul-Haq Stadium,10.0,1,36,1,0,1/36,36.00,60.00,3.60
Nehru Stadium (Guwahati),5.0,1,27,0,0,0/27,,,5.40
Punjab Cricket Association IS Bindra Stadium,6.0,0,40,0,0,0/40,,,6.67
Queen's Park Oval,9.0,1,36,0,0,0/36,,,4.00
R Premadasa Stadium,14.0,0,60,1,0,1/36,60.00,84.00,4.29
Sharjah Cricket Stadium,21.0,0,102,4,0,3/49,25.50,31.50,4.86
Sinhalese Sports Club Ground,18.0,2,88,1,0,1/26,88.00,108.00,4.89
Wankhede Stadium,8.0,0,24,1,0,1/24,24.00,48.00,3.00
Overall (10),107.0,5,510,10,0,3/49,51.00,64.20,4.77
