0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,10/04/2008,West Indies,Queen's Park Oval,C H Gayle (lbw),10.0,3/39,,20.00,3.90,1,13.00
,,,,J E Taylor (c L P C Silva),,,,,,2,
,,,,D J G Sammy (b),,,,,,3,
2.0,12/04/2008,West Indies,Queen's Park Oval,,4.0,0/21,,28.00,4.29,,20.00
3.0,25/06/2008,Bangladesh,Gaddafi Stadium,,10.0,0/34,,48.00,3.92,,31.33
4.0,26/06/2008,United Arab Emirates,Gaddafi Stadium,Fahad Alhashmi (lbw),6.3,5/22,,22.88,3.80,4,14.50
,,,,Saqib Ali (lbw),,,,,,5,
,,,,Alawi Shukri (c D P M D Jayawardene),,,,,,6,
,,,,Aman Ali (lbw),,,,,,7,
,,,,N Fernandes (st †K C Sangakkara),,,,,,8,
5.0,29/06/2008,Pakistan,National Stadium (Karachi),Mohammad Yousuf (lbw),10.0,4/47,,20.25,4.02,9,13.58
,,,,Misbah-ul-Haq (b),,,,,,10,
,,,,Shoaib Malik (st †K C Sangakkara),,,,,,11,
,,,,Mansoor Amjad (lbw),,,,,,12,
6.0,30/06/2008,Bangladesh,National Stadium (Karachi),Farhad Reza (c D P M D Jayawardene),7.3,2/29,,20.57,4.00,13,13.71
,,,,Mahmudullah (c sub),,,,,,14,
7.0,06/07/2008,India,National Stadium (Karachi),V Sehwag (st †K C Sangakkara),8.0,6/13,,16.80,3.66,15,10.25
,,,,Yuvraj Singh (b),,,,,,16,
,,,,I K Pathan (c D P M D Jayawardene),,,,,,17,
,,,,S K Raina (b),,,,,,18,
,,,,R P Singh (b),,,,,,19,
,,,,R G Sharma (lbw),,,,,,20,
8.0,18/08/2008,India,Rangiri Dambulla International Stadium,Yuvraj Singh (b),9.0,3/21,,16.96,3.48,21,9.83
,,,,M S Dhoni (c D P M D Jayawardene),,,,,,22,
,,,,M M Patel (b),,,,,,23,
9.0,20/08/2008,India,Rangiri Dambulla International Stadium,Harbhajan Singh (lbw),10.0,2/22,,18.00,3.31,24,9.92
,,,,Yuvraj Singh (lbw),,,,,,25,
10.0,24/08/2008,India,R Premadasa Stadium,Harbhajan Singh (c †K C Sangakkara),10.0,3/56,,18.21,3.58,26,10.86
,,,,M S Dhoni (c D P M D Jayawardene),,,,,,27,
,,,,S Badrinath (c W P U J C Vaas),,,,,,28,
11.0,27/08/2008,India,R Premadasa Stadium,R G Sharma (c B S M Warnapura),10.0,1/43,,19.66,3.65,29,11.97
12.0,29/08/2008,India,R Premadasa Stadium,Z Khan (lbw),4.3,4/10,,18.09,3.59,30,10.82
,,,,Yuvraj Singh (b),,,,,,31,
,,,,I K Pathan (c B S M Warnapura),,,,,,32,
