0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,14.0,0,73,1,0,1/45,73.00,84.00,5.21
AMI Stadium,5.0,0,37,2,0,2/37,18.50,15.00,7.40
Bellerive Oval,6.0,0,40,0,0,0/40,,,6.67
Brisbane Cricket Ground,14.0,1,88,0,0,0/38,,,6.29
Etihad Stadium,10.0,0,45,2,0,2/45,22.50,30.00,4.50
Kennington Oval,5.0,0,40,0,0,0/40,,,8.00
McLean Park,10.0,0,56,3,0,3/56,18.67,20.00,5.60
Sardar Patel Stadium,6.0,1,27,1,0,1/27,27.00,36.00,4.50
Shaheed Chandu Stadium,14.0,2,53,3,0,3/23,17.67,28.00,3.79
Sheikh Zayed Stadium,10.0,2,67,0,0,0/67,,,6.70
Sydney Cricket Ground,19.0,3,109,3,0,2/37,36.33,38.00,5.74
VRA Ground,8.0,1,36,0,0,0/36,,,4.50
WACA Ground,20.0,0,126,3,0,3/55,42.00,40.00,6.30
Zahur Ahmed Chowdhury Stadium,7.0,1,23,1,0,1/23,23.00,42.00,3.29
Overall (14),148.0,11,820,19,0,3/23,43.16,46.74,5.54
