0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,20/08/2011,Australia,R Premadasa Stadium,lbw b X J Doherty,0,2,0.00,,0,0.00,0.00
2,22/08/2011,Australia,R Premadasa Stadium,did not bat,-,-,-,,0,0.00,0.00
3,11/11/2011,Pakistan,Dubai International Cricket Stadium,st Sarfaraz Ahmed b Shahid Afridi,5,14,35.71,,5,2.50,31.25
4,14/11/2011,Pakistan,Dubai International Cricket Stadium,did not bat,-,-,-,,5,2.50,31.25
5,18/11/2011,Pakistan,Dubai International Cricket Stadium,c Shahid Afridi b Umar Gul,5,10,50.00,,10,3.33,38.46
6,20/11/2011,Pakistan,Sharjah Cricket Stadium,c & b Shahid Afridi,0,1,0.00,,10,2.50,37.04
7,23/11/2011,Pakistan,Sheikh Zayed Stadium,not out,8*,23,34.78,,18,4.50,36.00
8,13/03/2012,India,Shere Bangla National Stadium,c S R Tendulkar b I K Pathan,8,12,66.67,,26,5.20,41.94
9,15/03/2012,Pakistan,Shere Bangla National Stadium,not out,5*,17,29.41,,31,6.20,39.24
10,18/12/2013,Pakistan,Sharjah Cricket Stadium,c Sharjeel Khan b Junaid Khan,42,25,168.00,,73,12.17,70.19
11,20/12/2013,Pakistan,Dubai International Cricket Stadium,b Junaid Khan,6,5,120.00,,79,11.29,72.48
12,22/12/2013,Pakistan,Sharjah Cricket Stadium,c Saeed Ajmal b Mohammad Hafeez,22,15,146.67,,101,12.63,81.45
13,26/08/2014,Pakistan,Mahinda Rajapaksha International Cricket Stadium,lbw b Mohammad Hafeez,1,6,16.67,,102,11.33,78.46
14,30/08/2014,Pakistan,Rangiri Dambulla International Stadium,did not bat,-,-,-,,102,11.33,78.46
15,02/11/2014,India,Barabati Stadium,c A M Rahane b A R Patel,5,13,38.46,,107,10.70,74.83
16,06/11/2014,India,Sardar Patel Stadium,c A T Rayudu b R A Jadeja,13,14,92.86,,120,10.91,76.43
17,09/11/2014,India,Rajiv Gandhi International Stadium,b U T Yadav,29,32,90.63,,149,12.42,78.84
18,13/11/2014,India,Eden Gardens,c A R Patel b D S Kulkarni,11,10,110.00,,160,12.31,80.40
19,16/11/2014,India,JSCA International Stadium Complex,c A R Patel b D S Kulkarni,0,4,0.00,,160,11.43,78.82
20,13/12/2014,England,Pallekele International Cricket Stadium,c E J G Morgan b S T Finn,20,12,166.67,,180,12.00,83.72
21,16/12/2014,England,R Premadasa Stadium,run out,0,0,-,,180,11.25,83.72
22,28/01/2015,New Zealand,Westpac Stadium,lbw b K D Mills,1,3,33.33,,181,10.65,83.03
23,08/03/2015,Australia,Sydney Cricket Ground,b M A Starc,9,11,81.82,,190,10.56,82.97
24,11/03/2015,Scotland,Bellerive Oval,c F R J Coleman b A C Evans,3,5,60.00,,193,10.16,82.48
25,11/07/2015,Pakistan,Rangiri Dambulla International Stadium,c Mohammad Hafeez b Rahat Ali,0,1,0.00,,193,9.65,82.13
26,16/06/2016,Ireland,The Village,c J Anderson b W B Rankin,0,4,0.00,,193,9.19,80.75
27,18/06/2016,Ireland,The Village,b T J Murtagh,95,46,206.52,,288,13.09,101.05
28,21/06/2016,England,Trent Bridge,c & b C R Woakes,59,28,210.71,,347,15.09,110.86
29,24/06/2016,England,Edgbaston,c D J Willey b A U Rashid,2,6,33.33,,349,14.54,109.40
30,26/06/2016,England,County Ground (Bristol),c J M Bairstow b L E Plunkett,2,5,40.00,,351,14.04,108.33
31,29/06/2016,England,Kennington Oval,b D J Willey,9,8,112.50,,360,13.85,108.43
32,02/07/2016,England,Sophia Gardens,c D J Willey b L E Plunkett,5,17,29.41,,365,13.52,104.58
33,24/08/2016,Australia,R Premadasa Stadium,not out,2*,1,200.00,,367,13.59,104.86
34,28/08/2016,Australia,Rangiri Dambulla International Stadium,c G J Bailey b A Zampa,3,7,42.86,,370,13.21,103.64
35,01/04/2017,Bangladesh,Sinhalese Sports Club Ground,c Mahmudullah b Mustafizur Rahman,1,3,33.33,,371,12.79,103.06
36,03/06/2017,South Africa,Kennington Oval,lbw b C H Morris,13,20,65.00,,384,12.80,101.05
37,20/10/2017,Pakistan,Sharjah Cricket Stadium,b Shadab Khan,5,13,38.46,,389,12.55,98.98
38,23/10/2017,Pakistan,Sharjah Cricket Stadium,run out,16,34,47.06,,405,12.66,94.85
39,03/01/2019,New Zealand,Bay Oval,c †T L Seifert b L H Ferguson,16,14,114.29,,421,12.76,95.46
40,05/01/2019,New Zealand,Bay Oval,b I S Sodhi,0,4,0.00,,421,12.38,94.61
No. of Innings Played = 37,No. of Innings Played = 37,No. of Innings Played = 37,No. of Innings Played = 37,No. of Innings Played = 37,No. of Innings Played = 37,No. of Innings Played = 37,No. of Innings Played = 37,No. of Innings Played = 37,No. of Innings Played = 37,,
