0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,19.5,0,93,3,0,2/44,31.00,39.67,4.69
Arbab Niaz Stadium,13.5,0,95,2,0,2/62,47.50,41.50,6.87
Arun Jaitley Stadium,21.0,1,91,1,0,1/48,91.00,126.00,4.33
Asgiriya Stadium,9.0,1,41,2,0,2/41,20.50,27.00,4.56
Bangabandhu National Stadium,34.0,3,132,7,1,4/23,18.86,29.14,3.88
Bellerive Oval,9.0,1,33,3,0,3/33,11.00,18.00,3.67
Brisbane Cricket Ground,7.1,0,40,0,0,0/40,,,5.58
Carisbrook,10.0,0,45,1,0,1/45,45.00,60.00,4.50
Eden Park,5.0,0,41,0,0,0/41,,,8.20
Gaddafi Stadium,8.0,1,42,1,0,1/42,42.00,48.00,5.25
Gandhi Sports Complex Ground,7.0,1,37,0,0,0/37,,,5.29
Green Park,13.1,1,53,6,0,3/12,8.83,13.17,4.03
Iqbal Stadium,10.0,0,58,1,0,1/58,58.00,60.00,5.80
Jinnah Stadium (Gujwranwala),6.0,0,44,0,0,0/44,,,7.33
"KD Singh ""Babu"" Stadium",10.0,2,48,0,0,0/48,,,4.80
Kennington Oval,9.4,3,37,1,0,1/37,37.00,58.00,3.83
M Chinnaswamy Stadium,3.0,0,25,0,0,0/25,,,8.33
Madhavrao Scindia Cricket Ground,10.0,1,36,2,0,2/36,18.00,30.00,3.60
McLean Park,7.0,0,39,1,0,1/39,39.00,42.00,5.57
Melbourne Cricket Ground,25.0,2,95,3,0,1/24,31.67,50.00,3.80
Moti Bagh Stadium,8.0,0,52,1,0,1/52,52.00,48.00,6.50
National Stadium (Karachi),18.3,0,142,3,0,2/68,47.33,37.00,7.68
Nehru Stadium (Guwahati),6.3,0,38,1,0,1/38,38.00,39.00,5.85
Nehru Stadium (Margao),9.0,1,34,0,0,0/34,,,3.78
Nehru Stadium (Pune),8.0,1,37,0,0,0/37,,,4.63
Niaz Stadium,15.0,0,81,5,0,3/34,16.20,18.00,5.40
P Sara Oval,39.0,1,176,6,0,3/32,29.33,39.00,4.51
R Premadasa Stadium,7.0,1,24,1,0,1/24,24.00,42.00,3.43
Sardar Patel Stadium,10.0,1,35,3,0,3/35,11.67,20.00,3.50
Sharjah Cricket Stadium,115.0,0,509,19,1,4/65,26.79,36.32,4.43
Sinhalese Sports Club Ground,24.2,0,135,6,0,2/37,22.50,24.33,5.55
Sydney Cricket Ground,31.4,1,160,3,0,1/32,53.33,63.33,5.05
Tasmania Cricket Association Ground,7.0,0,41,0,0,0/41,,,5.86
Tyronne Fernando Stadium,12.0,0,24,0,0,0/10,,,2.00
WACA Ground,40.5,2,203,3,0,2/33,67.67,81.67,4.97
Wankhede Stadium,6.0,0,50,1,0,1/50,50.00,36.00,8.33
Overall (36),595.3,25,2866,86,2,4/23,33.33,41.55,4.81
