0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,6.0,0,30,0,0,0/30,,,5.00
Castle Avenue,7.5,1,27,1,0,1/27,27.00,47.00,3.45
Diamond Oval,10.0,1,53,0,0,0/53,,,5.30
Dubai International Cricket Stadium,10.0,0,42,0,0,0/42,,,4.20
Eden Park,7.0,0,30,0,0,0/30,,,4.29
Edgbaston,10.0,0,36,1,0,1/36,36.00,60.00,3.60
Hagley Oval,12.2,0,65,2,0,2/43,32.50,37.00,5.27
Kennington Oval,8.0,0,30,3,0,3/30,10.00,16.00,3.75
Khan Shaheb Osman Ali Stadium,19.0,0,88,4,0,3/41,22.00,28.50,4.63
Lord's,10.0,0,49,1,0,1/49,49.00,60.00,4.90
Mahinda Rajapaksha International Cricket Stadium,32.0,1,182,7,0,3/39,26.00,27.43,5.69
Melbourne Cricket Ground,10.0,0,50,1,0,1/50,50.00,60.00,5.00
Old Trafford,1.0,0,8,0,0,0/8,,,8.00
Pallekele International Cricket Stadium,41.3,1,180,9,0,3/33,20.00,27.67,4.34
Queen's Park Oval,9.0,0,41,0,0,0/41,,,4.56
R Premadasa Stadium,31.0,2,128,4,0,2/29,32.00,46.50,4.13
Rangiri Dambulla International Stadium,5.0,1,14,2,0,2/14,7.00,15.00,2.80
Riverside Ground,7.1,1,13,4,1,4/13,3.25,10.75,1.81
Sabina Park,10.0,0,46,2,0,2/46,23.00,30.00,4.60
Saxton Oval,9.1,0,57,0,0,0/57,,,6.22
Seddon Park,10.0,0,55,2,0,2/55,27.50,30.00,5.50
Sharjah Cricket Stadium,19.0,1,104,0,0,0/46,,,5.47
Sheikh Zayed Stadium,20.0,1,93,0,0,0/44,,,4.65
Shere Bangla National Stadium,53.0,1,241,7,0,2/33,34.43,45.43,4.55
Sydney Cricket Ground,9.0,0,59,0,0,0/59,,,6.56
University Oval,7.0,0,58,0,0,0/58,,,8.29
WACA Ground,10.0,0,45,2,0,2/45,22.50,30.00,4.50
Wanderers Stadium,9.0,0,50,1,0,1/50,50.00,54.00,5.56
Overall (28),393.0,11,1874,53,1,4/13,35.36,44.49,4.77
