0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,03/11/1984,New Zealand,P Sara Oval,c S L Boock b E J Chatfield,21,34,61.76,,21,21.00,61.76
2,04/11/1984,New Zealand,Tyronne Fernando Stadium,c 咺 D S Smith b M D Crowe,9,50,18.00,,30,15.00,35.71
3,08/01/1985,Australia,Sydney Cricket Ground,c M J Bennett b R M Hogg,68,109,62.39,,98,32.67,50.78
4,10/01/1985,West Indies,Tasmania Cricket Association Ground,c 哖 J L Dujon b J Garner,4,24,16.67,,102,25.50,47.00
5,12/01/1985,West Indies,Brisbane Cricket Ground,b W W Davis,20,33,60.61,,122,24.40,48.80
6,17/01/1985,West Indies,Sydney Cricket Ground,c C G Greenidge b M D Marshall,5,13,38.46,,127,21.17,48.29
7,19/01/1985,Australia,Melbourne Cricket Ground,c R M Hogg b S P O'Donnell,23,50,46.00,,150,21.43,47.92
8,23/01/1985,Australia,Sydney Cricket Ground,run out,2,5,40.00,,152,19.00,47.80
9,26/01/1985,West Indies,Adelaide Oval,c J Garner b W W Davis,5,12,41.67,,157,17.44,47.58
10,28/01/1985,Australia,Adelaide Oval,lbw b R J McCurdy,0,2,0.00,,157,15.70,47.29
11,02/02/1985,West Indies,WACA Ground,c 哖 J L Dujon b C A Walsh,85,96,88.54,,242,22.00,56.54
12,03/02/1985,Australia,WACA Ground,c 哤 B Phillips b S P O'Donnell,51,86,59.30,,293,24.42,57.00
13,23/02/1985,New Zealand,Melbourne Cricket Ground,c M D Crowe b E J Chatfield,33,55,60.00,,326,25.08,57.29
14,27/02/1985,West Indies,Melbourne Cricket Ground,c D L Haynes b J Garner,4,33,12.12,,330,23.57,54.82
15,25/08/1985,India,Sinhalese Sports Club Ground,c C Sharma b R J Shastri,36,75,48.00,,366,24.40,54.06
16,21/09/1985,India,P Sara Oval,b Kapil Dev,11,15,73.33,,377,23.56,54.48
17,22/09/1985,India,P Sara Oval,b Kapil Dev,1,4,25.00,,378,22.24,54.31
18,13/10/1985,Pakistan,Arbab Niaz Stadium,b Tahir Naqqash,25,62,40.32,,403,22.39,53.17
19,23/10/1985,Pakistan,Jinnah Stadium (Gujwranwala),c 哠aleem Yousuf b Abdul Qadir,19,34,55.88,,422,22.21,53.28
20,25/10/1985,Pakistan,Gaddafi Stadium,lbw b Tahir Naqqash,19,46,41.30,,441,22.05,52.63
No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,,
