0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Darren Sammy National Cricket Stadium,5.2,1,12,1,0,1/12,12.00,32.00,2.25
Gaddafi Stadium,14.0,1,55,5,0,3/33,11.00,16.80,3.93
Harare Sports Club,45.2,5,196,10,0,3/57,19.60,27.20,4.32
National Stadium (Karachi),41.0,0,253,2,0,1/24,126.50,123.00,6.17
R Premadasa Stadium,69.4,2,386,14,1,5/47,27.57,29.86,5.54
Rangiri Dambulla International Stadium,48.0,3,202,11,0,3/29,18.36,26.18,4.21
Shere Bangla National Stadium,49.0,5,239,7,0,2/62,34.14,42.00,4.88
Wanderers Stadium,7.0,0,50,0,0,0/50,,,7.14
Overall (8),279.2,17,1393,50,1,5/47,27.86,33.52,4.99
