0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Australia,348.3,26,1676,47,1,4/56,35.66,44.49,4.81
Bangladesh,90.1,20,261,19,1,6/25,13.74,28.47,2.89
Bermuda,6.0,3,11,1,0,1/11,11.00,36.00,1.83
Canada,7.0,4,15,3,0,3/15,5.00,14.00,2.14
England,252.4,25,1121,32,0,3/13,35.03,47.38,4.44
ICC World XI,9.0,1,59,1,0,1/59,59.00,54.00,6.56
India,474.4,44,2213,70,1,5/14,31.61,40.69,4.66
Ireland,5.4,1,18,1,0,1/18,18.00,34.00,3.18
Kenya,37.0,4,151,7,0,3/41,21.57,31.71,4.08
Netherlands,6.0,2,11,1,0,1/11,11.00,36.00,1.83
New Zealand,283.2,32,1089,49,4,5/39,22.22,34.69,3.84
Pakistan,456.4,33,2012,61,0,3/30,32.98,44.92,4.41
South Africa,275.3,25,1120,40,1,4/33,28.00,41.33,4.07
West Indies,159.0,30,487,26,1,4/22,18.73,36.69,3.06
Zimbabwe,218.0,27,770,42,4,8/19,18.33,31.14,3.53
Overall (15),2629.1,277,11014,400,13,8/19,27.54,39.44,4.19
