0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,75.3,1,393,8,0,3/63,49.13,56.63,5.21
AMI Stadium,27.0,2,129,2,0,1/41,64.50,81.00,4.78
Arnos Vale Ground,8.0,1,25,1,0,1/25,25.00,48.00,3.13
Arun Jaitley Stadium,9.0,3,37,0,0,0/37,,,4.11
Asgiriya Stadium,10.0,0,44,1,0,1/44,44.00,60.00,4.40
Bangabandhu National Stadium,44.2,1,189,5,0,2/28,37.80,53.20,4.26
Basin Reserve,9.2,1,26,4,1,4/26,6.50,14.00,2.79
Bellerive Oval,32.0,6,94,8,0,3/21,11.75,24.00,2.94
Boland Park,16.5,5,52,4,0,3/15,13.00,25.25,3.09
Brabourne Stadium,16.0,3,47,3,0,2/6,15.67,32.00,2.94
Brisbane Cricket Ground,65.3,6,289,5,0,2/21,57.80,78.60,4.41
Buffalo Park,29.5,1,133,4,0,2/46,33.25,44.75,4.46
Captain Roop Singh Stadium,10.0,1,71,1,0,1/71,71.00,60.00,7.10
City Oval,9.1,2,25,6,1,6/25,4.17,9.17,2.73
County Ground (Bristol),10.0,0,64,1,0,1/64,64.00,60.00,6.40
County Ground (Northampton),10.0,0,46,3,0,3/46,15.33,20.00,4.60
County Ground (Southampton),7.0,1,26,2,0,2/26,13.00,21.00,3.71
Darren Sammy National Cricket Stadium,7.0,0,36,1,0,1/36,36.00,42.00,5.14
Diamond Oval,19.0,2,100,2,0,1/42,50.00,57.00,5.26
Eden Gardens,13.0,1,63,2,0,1/23,31.50,39.00,4.85
Eden Park,32.0,6,107,6,0,3/10,17.83,32.00,3.34
Edgbaston,10.0,1,26,2,0,2/26,13.00,30.00,2.60
Etihad Stadium,10.0,0,73,0,0,0/73,,,7.30
Gaddafi Stadium,61.5,4,290,12,0,3/59,24.17,30.92,4.69
Galle International Stadium,24.0,0,126,1,0,1/38,126.00,144.00,5.25
Gandhi Stadium,10.0,2,43,1,0,1/43,43.00,60.00,4.30
Gymkhana Club Ground,45.0,4,203,4,0,3/41,50.75,67.50,4.51
Harare Sports Club,52.1,7,171,14,2,4/11,12.21,22.36,3.28
Headingley,14.0,2,80,2,0,2/39,40.00,42.00,5.71
Iqbal Stadium,10.0,1,46,2,0,1/17,23.00,30.00,4.60
Jinnah Stadium (Gujwranwala),9.0,0,38,2,0,2/38,19.00,27.00,4.22
Keenan Stadium,9.0,0,56,0,0,0/56,,,6.22
Kennington Oval,28.0,1,122,3,0,2/38,40.67,56.00,4.36
Kensington Oval,24.0,6,103,3,0,2/16,34.33,48.00,4.29
Kingsmead,15.0,1,65,1,0,1/32,65.00,90.00,4.33
Lal Bahadur Shastri Stadium,13.0,3,45,1,0,1/23,45.00,78.00,3.46
