0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Dubai International Cricket Stadium,10.0,0,47,1,0,1/47,47.00,60.00,4.70
Hagley Oval,2.0,0,34,0,0,0/34,,,17.00
Queens Sports Club,10.0,0,50,3,0,3/50,16.67,20.00,5.00
Riverside Ground,7.0,0,50,1,0,1/50,50.00,42.00,7.14
Saxton Oval,11.0,1,70,2,0,2/55,35.00,33.00,6.36
Sharjah Cricket Stadium,6.2,0,30,1,0,1/30,30.00,38.00,4.74
Sheikh Zayed Stadium,18.3,1,87,2,0,1/43,43.50,55.50,4.70
St George's Park,7.0,0,51,0,0,0/51,,,7.29
SuperSport Park,10.0,0,61,1,0,1/61,61.00,60.00,6.10
Overall (9),81.5,2,480,11,0,3/50,43.64,44.64,5.87
