0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,07/06/1975,West Indies,Old Trafford,c †D L Murray b K D Boyce,8,49,16.33,,8,8.00,16.33
2,11/06/1975,Australia,Kennington Oval,st R W Marsh b A A Mallett,31,39,79.49,,39,19.50,44.32
3,14/06/1975,Pakistan,Trent Bridge,b Imran Khan,2,15,13.33,,41,13.67,39.81
4,09/06/1979,New Zealand,Trent Bridge,c & b B J McKechnie,20,58,34.48,,61,15.25,37.89
5,16/06/1979,India,Old Trafford,c A D Gaekwad b M Amarnath,18,51,35.29,,79,15.80,37.26
6,13/02/1982,England,Sinhalese Sports Club Ground,c D I Gower b P J W Allott,10,25,40.00,,89,14.83,37.55
7,14/02/1982,England,Sinhalese Sports Club Ground,c †R W Taylor b I T Botham,4,25,16.00,,93,13.29,35.50
8,12/03/1982,Pakistan,National Stadium (Karachi),b M Iqbal Qasim,77,98,78.57,,170,21.25,47.22
9,29/03/1982,Pakistan,Gaddafi Stadium,c Javed Miandad b Sikander Bakht,5,22,22.73,,175,19.44,45.81
10,12/09/1982,India,Gandhi Sports Complex Ground,b S Madan Lal,0,15,0.00,,175,17.50,44.08
11,15/09/1982,India,Arun Jaitley Stadium,lbw b Kapil Dev,4,7,57.14,,179,16.27,44.31
12,26/09/1982,India,M Chinnaswamy Stadium,lbw b Kapil Dev,1,6,16.67,,180,15.00,43.90
No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,,
