0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,08/12/1990,India,Nehru Stadium (Margao),Kapil Dev (c †H P Tillakaratne),10.0,2/24,,30.00,2.40,1,12.00
,,,,K S More (c R S Kaluwitharana),,,,,,2,
2.0,20/12/1990,Pakistan,Sharjah Cricket Stadium,Imran Khan (c †H P Tillakaratne),9.0,1/36,,38.00,3.16,3,20.00
3.0,21/12/1990,Pakistan,Sharjah Cricket Stadium,Wasim Akram (b),9.0,2/26,,33.60,3.07,4,17.20
,,,,Imran Khan (c C P Senanayake),,,,,,5,
4.0,28/12/1990,India,Barabati Stadium,M M Prabhakar (c P A de Silva),8.0,1/34,,36.00,3.33,6,20.00
5.0,04/01/1991,India,Eden Gardens,,6.0,0/41,,42.00,3.83,,26.83
6.0,04/02/1993,Pakistan,Sharjah Cricket Stadium,,7.0,0/39,,49.00,4.08,,33.33
