0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,01/02/2014,Scotland,Bert Sutcliffe Oval,,10.0,0/64,,,6.40,,
2.0,04/05/2014,Hong Kong,Kinrara Academy Oval,Irfan Ahmed (b),9.0,3/41,,38.00,5.53,1,35.00
,,,,Skhawit Ali (lbw),,,,,,2,
,,,,Haseeb Amjad (c & b),,,,,,3,
3.0,04/12/2014,Afghanistan,ICC Global Cricket Academy,Hamid Hassan (c Ahmed Raza),10.0,3/45,,29.00,5.17,4,25.00
,,,,Mirwais Ashraf (lbw),,,,,,5,
,,,,Javed Ahmadi (c Saqib Ali),,,,,,6,
4.0,11/03/2015,South Africa,Westpac Stadium,A B de Villiers (c Amjad Javed),8.0,1/59,,31.71,5.65,7,29.86
