0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,02/05/2014,Afghanistan,Kinrara Academy Oval,,3.0,0/29,,,9.67,,
2.0,04/05/2014,Hong Kong,Kinrara Academy Oval,J J Atkinson (c †S P Patil),10.0,4/26,,19.50,4.23,1,13.75
,,,,Nizakat Khan (c †S P Patil),,,,,,2,
,,,,Tanwir Afzal (b),,,,,,3,
,,,,Ankur Sharma (c & b),,,,,,4,
3.0,30/11/2014,Afghanistan,ICC Global Cricket Academy,Mohammad Nabi (c Khurram Khan),9.0,1/51,,26.40,4.82,5,21.20
4.0,02/12/2014,Afghanistan,ICC Global Cricket Academy,,2.0,0/21,,28.80,5.29,,25.40
5.0,14/08/2016,Scotland,Grange Cricket Club,R D Berrington (c Rameez Shahzad),7.0,3/61,,23.25,6.06,6,23.50
,,,,K J Coetzer (c Shaiman Anwar),,,,,,7,
,,,,M A Leask (c Shaiman Anwar),,,,,,8,
6.0,16/08/2016,Scotland,Grange Cricket Club,K J Coetzer (c Amjad Javed),9.0,1/45,,26.67,5.83,9,25.89
