0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,16/07/2004,India,Rangiri Dambulla International Stadium,55,55,55.00,1/46,1,46.00,1,1,,,,32 years 184 days
2.0,17/07/2004,Sri Lanka,Rangiri Dambulla International Stadium,6,61,30.50,0/34,1,80.00,,1,,,,32 years 185 days
3.0,24/06/2008,Bangladesh,Gaddafi Stadium,17,78,26.00,0/6,1,86.00,,1,,,,36 years 162 days
4.0,26/06/2008,Sri Lanka,Gaddafi Stadium,9,87,21.75,2/47,3,44.33,1,2,,,,36 years 164 days
5.0,28/11/2014,Afghanistan,ICC Global Cricket Academy,-,87,21.75,1/19,4,38.00,2,4,,,,42 years 318 days
6.0,19/02/2015,Zimbabwe,Saxton Oval,-,87,21.75,2/51,6,33.83,,4,,,,43 years 36 days
7.0,25/02/2015,Ireland,Brisbane Cricket Ground,2*,89,22.25,2/38,8,30.13,,4,,,,43 years 42 days
8.0,28/02/2015,India,WACA Ground,1,90,18.00,0/21,8,32.75,,4,,,,43 years 45 days
9.0,04/03/2015,Pakistan,McLean Park,0*,90,18.00,0/52,8,39.25,,4,,,,43 years 49 days
10.0,11/03/2015,South Africa,Westpac Stadium,3,93,15.50,1/47,9,40.11,1,5,,,,43 years 56 days
11.0,15/03/2015,West Indies,McLean Park,2,95,13.57,0/22,9,42.56,,5,,,,43 years 60 days
