0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,13/04/1994,India,Sharjah Cricket Stadium,A C Bedade (c †Imtiaz Abbasi),10.0,1/48,,60.00,4.80,1,48.00
2.0,17/04/1994,Pakistan,Sharjah Cricket Stadium,,5.0,0/31,,90.00,5.27,,79.00
3.0,16/02/1996,South Africa,Rawalpindi Cricket Stadium,A C Hudson (b),9.0,1/39,,72.00,4.92,2,59.00
4.0,18/02/1996,England,Arbab Niaz Stadium,,7.0,0/35,,93.00,4.94,,76.50
5.0,24/02/1996,Pakistan,Jinnah Stadium (Gujwranwala),Aamir Sohail (b),3.0,1/17,,68.00,5.00,3,56.67
6.0,27/02/1996,New Zealand,Iqbal Stadium,N J Astle (b),6.0,1/30,,60.00,5.00,4,50.00
7.0,01/03/1996,Netherlands,Gaddafi Stadium,,9.0,0/36,,73.50,4.82,,59.00
