0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,02/03/2019,Ireland,Rajiv Gandhi International Cricket Stadium,not out,5*,10,50.00,,5,,50.00
2,08/03/2019,Ireland,Rajiv Gandhi International Cricket Stadium,c A Balbirnie b A R McBrine,1,3,33.33,,6,6.00,46.15
3,08/06/2019,New Zealand,The Cooper Associates County Ground,c M J Guptill b C de Grandhomme,2,22,9.09,,8,4.00,22.86
4,15/06/2019,South Africa,Sophia Gardens,c H M Amla b C H Morris,9,33,27.27,,17,5.67,25.00
5,18/06/2019,England,Old Trafford,not out,3*,10,30.00,,20,6.67,25.64
6,22/06/2019,India,The Rose Bowl,not out,7*,10,70.00,,27,9.00,30.68
7,24/06/2019,Bangladesh,The Rose Bowl,run out,11,12,91.67,,38,9.50,38.00
8,29/06/2019,Pakistan,Headingley,c Mohammad Hafeez b Imad Wasim,24,66,36.36,,62,12.40,37.35
9,04/07/2019,West Indies,Headingley,lbw b C H Gayle,86,93,92.47,,148,24.67,57.14
10,06/11/2019,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,run out,58,62,93.55,,206,29.43,64.17
11,09/11/2019,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,c J O Holder b R L Chase,19,36,52.78,,225,28.13,63.03
12,11/11/2019,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,b K M A Paul,9,29,31.03,,234,26.00,60.62
No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,,
