0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,19/04/2009,Scotland,Willowmoore Park,20,20,20.00,,0,,,0,,,,25 years 60 days
2.0,16/02/2010,Canada,Sharjah Cricket Stadium,0,20,10.00,0/35,0,,,0,,,,25 years 363 days
3.0,18/02/2010,Canada,Sharjah Cricket Stadium,4,24,8.00,2/28,2,31.50,,0,,,,26 years 0 days
4.0,01/07/2010,Canada,Sportpark Westvliet,-,24,8.00,,2,31.50,,0,,,,26 years 133 days
5.0,03/07/2010,Ireland,Hazelaarweg,25,49,12.25,,2,31.50,2,2,,,,26 years 135 days
6.0,05/07/2010,Kenya,VRA Ground,0,49,9.80,,2,31.50,,2,,,,26 years 137 days
7.0,07/07/2010,Netherlands,Sportpark Westvliet,26,75,12.50,,2,31.50,1,3,,,,26 years 139 days
8.0,09/07/2010,Scotland,Hazelaarweg,2,77,11.00,0/12,2,37.50,,3,,,,26 years 141 days
9.0,10/07/2010,Netherlands,Hazelaarweg,21*,98,14.00,0/7,2,41.00,,3,,,,26 years 142 days
10.0,16/08/2010,Scotland,Cambusdoon New Ground,114*,212,30.29,,2,41.00,,3,,,,26 years 179 days
11.0,17/08/2010,Scotland,Cambusdoon New Ground,0,212,26.50,,2,41.00,,3,,,,26 years 180 days
12.0,07/10/2010,Kenya,Gymkhana Club Ground,19,231,25.67,,2,41.00,,3,,,,26 years 231 days
13.0,09/10/2010,Kenya,Gymkhana Club Ground,7,238,23.80,,2,41.00,,3,,,,26 years 233 days
14.0,11/10/2010,Kenya,Gymkhana Club Ground,17,255,23.18,,2,41.00,,3,,,,26 years 235 days
15.0,07/08/2011,Canada,Maple Leaf North - West Ground,1,256,21.33,,2,41.00,1,4,,,,27 years 170 days
16.0,09/08/2011,Canada,"Cricket, Skating & Curling Club",34,290,22.31,,2,41.00,,4,,,,27 years 172 days
17.0,10/02/2012,Pakistan,Sharjah Cricket Stadium,40,330,23.57,0/10,2,46.00,,4,,,,27 years 357 days
18.0,29/03/2012,Netherlands,Sharjah Cricket Stadium,10,340,22.67,0/11,2,51.50,,4,,,,28 years 40 days
19.0,31/03/2012,Netherlands,Sharjah Cricket Stadium,100,440,27.50,0/11,2,57.00,2,6,,,,28 years 42 days
20.0,05/07/2012,Ireland,Castle Avenue,1,441,25.94,0/19,2,66.50,,6,,,,28 years 138 days
21.0,25/08/2012,Australia,Sharjah Cricket Stadium,17,458,25.44,2/22,4,38.75,,6,,,,28 years 189 days
22.0,04/10/2013,Kenya,Sharjah Cricket Stadium,-,458,25.44,2/10,6,27.50,,6,,,,29 years 228 days
23.0,01/03/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,12,470,24.74,0/9,6,29.00,,6,,,,30 years 11 days
24.0,04/01/2016,Zimbabwe,Sharjah Cricket Stadium,5,475,23.75,0/27,6,33.50,,6,,,,31 years 320 days
