0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,19/12/1980,West Indies,Gaddafi Stadium,D L Haynes (b),8.0,2/31,,24.00,3.88,1,15.50
,,,,I V A Richards (c Taslim Arif),,,,,,2,
2.0,12/03/1982,Sri Lanka,National Stadium (Karachi),,8.0,0/40,,48.00,4.44,,35.50
3.0,29/03/1982,Sri Lanka,Gaddafi Stadium,,7.0,0/55,,69.00,5.48,,63.00
4.0,31/03/1982,Sri Lanka,National Stadium (Karachi),,4.0,0/37,,81.00,6.04,,81.50
5.0,09/06/1983,Sri Lanka,St Helen's,R L Dias (b),12.0,1/55,,78.00,5.59,3,72.67
6.0,11/06/1983,New Zealand,Edgbaston,J G Bracewell (lbw),11.0,3/47,,50.00,5.30,4,44.17
,,,,M D Crowe (c Mohsin Khan),,,,,,5,
,,,,G M Turner (c †Wasim Bari),,,,,,6,
7.0,13/06/1983,England,Lord's,C J Tavare (lbw),7.0,1/19,,48.86,4.98,7,40.57
8.0,16/06/1983,Sri Lanka,Headingley,S Wettimuny (c Shahid Mahboob),12.0,2/31,,46.00,4.57,8,35.00
,,,,D S B Kuruppu (b),,,,,,9,
9.0,18/06/1983,England,Old Trafford,,11.0,0/58,,53.33,4.66,,41.44
10.0,20/06/1983,New Zealand,Trent Bridge,,6.0,0/24,,57.33,4.62,,44.11
11.0,22/06/1983,West Indies,Kennington Oval,C G Greenidge (lbw),12.0,1/32,,58.80,4.38,10,42.90
12.0,10/01/1984,Australia,Sydney Cricket Ground,R W Marsh (b),10.0,1/42,,58.91,4.36,11,42.82
13.0,12/01/1984,West Indies,Melbourne Cricket Ground,D L Haynes (b),6.0,2/10,,52.62,4.22,12,37.00
,,,,H A Gomes (c Abdul Qadir),,,,,,13,
14.0,14/01/1984,West Indies,Brisbane Cricket Ground,R B Richardson (c †Wasim Bari),8.0,1/18,,52.29,4.09,14,35.64
15.0,15/01/1984,Australia,Brisbane Cricket Ground,,1.5,0/6,,53.07,4.08,,36.07
16.0,19/01/1984,West Indies,Sydney Cricket Ground,,9.3,0/26,,57.14,3.98,,37.93
17.0,21/01/1984,Australia,Melbourne Cricket Ground,,10.0,0/32,,61.43,3.93,,40.21
18.0,25/01/1984,Australia,Sydney Cricket Ground,S B Smith (c Abdul Qadir),9.0,1/36,,60.93,3.93,15,39.93
19.0,28/01/1984,West Indies,Adelaide Oval,A L Logie (c Javed Miandad),8.1,1/29,,60.19,3.91,16,39.25
20.0,30/01/1984,Australia,Adelaide Oval,J N Maguire (c Mansoor Akhtar),10.0,1/33,,60.18,3.88,17,38.88
21.0,04/02/1984,West Indies,WACA Ground,,10.0,0/25,,63.71,3.80,,40.35
22.0,09/03/1984,England,Gaddafi Stadium,C J Tavare (c †Ashraf Ali),8.0,2/28,,59.53,3.79,18,37.58
,,,,V J Marks (b),,,,,,19,
23.0,26/03/1984,England,National Stadium (Karachi),,8.0,0/31,,62.05,3.79,,39.21
24.0,06/04/1984,Sri Lanka,Sharjah Cricket Stadium,,8.0,0/26,,64.58,3.77,,40.58
25.0,12/10/1984,India,Ayub National Stadium,Maninder Singh (b),6.1,1/20,,63.20,3.75,20,39.55
26.0,31/10/1984,India,Jinnah Stadium (Sialkot),,8.0,0/43,,65.60,3.81,,41.70
27.0,20/02/1985,India,Melbourne Cricket Ground,,7.0,0/38,,67.70,3.86,,43.60
28.0,24/02/1985,Australia,Melbourne Cricket Ground,,10.0,0/51,,70.70,3.92,,46.15
