0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,16/03/2012,West Indies,Arnos Vale Ground,48,48,48.00,,0,,3,3,,,,29 years 190 days
2.0,18/03/2012,West Indies,Arnos Vale Ground,21,69,34.50,,0,,,3,,,,29 years 192 days
3.0,20/03/2012,West Indies,Arnos Vale Ground,59,128,42.67,,0,,1,4,,,,29 years 194 days
4.0,23/03/2012,West Indies,Darren Sammy National Cricket Stadium,25,153,38.25,,0,,1,5,,,,29 years 197 days
5.0,25/03/2012,West Indies,Darren Sammy National Cricket Stadium,19,172,34.40,,0,,2,7,,,,29 years 199 days
6.0,29/06/2012,England,Lord's,29,201,33.50,,0,,,7,,,,29 years 295 days
7.0,01/07/2012,England,Kennington Oval,65,266,38.00,,0,,,7,,,,29 years 297 days
8.0,07/07/2012,England,Riverside Ground,9,275,34.38,,0,,,7,,,,29 years 303 days
9.0,10/07/2012,England,Old Trafford,46*,321,40.13,,0,,1,8,,,,29 years 306 days
10.0,25/08/2012,Afghanistan,Sharjah Cricket Stadium,23,344,38.22,,0,,,8,,,,29 years 352 days
11.0,28/08/2012,Pakistan,Sharjah Cricket Stadium,57*,401,44.56,,0,,1,9,,,,29 years 355 days
12.0,31/08/2012,Pakistan,Sheikh Zayed Stadium,39,440,44.00,,0,,,9,,,,29 years 358 days
13.0,03/09/2012,Pakistan,Sharjah Cricket Stadium,1,441,40.09,,0,,1,10,,,,29 years 361 days
14.0,11/01/2013,Sri Lanka,Melbourne Cricket Ground,89,530,44.17,,0,,3,13,,,,30 years 126 days
15.0,13/01/2013,Sri Lanka,Adelaide Oval,26,556,42.77,,0,,,13,,,,30 years 128 days
16.0,18/01/2013,Sri Lanka,Brisbane Cricket Ground,0,556,39.71,,0,,,13,,,,30 years 133 days
17.0,20/01/2013,Sri Lanka,Sydney Cricket Ground,22,578,38.53,,0,,,13,,,,30 years 135 days
18.0,23/01/2013,Sri Lanka,Bellerive Oval,17,595,37.19,,0,,1,14,,,,30 years 138 days
19.0,01/02/2013,West Indies,WACA Ground,-,595,37.19,,0,,1,15,,,,30 years 147 days
20.0,03/02/2013,West Indies,WACA Ground,125*,720,45.00,,0,,,15,,,,30 years 149 days
21.0,06/02/2013,West Indies,Manuka Oval,44,764,44.94,,0,,,15,,,,30 years 152 days
22.0,08/06/2013,England,Edgbaston,55,819,45.50,,0,,1,16,,,,30 years 274 days
23.0,12/06/2013,New Zealand,Edgbaston,55,874,46.00,,0,,,16,,,,30 years 278 days
24.0,17/06/2013,Sri Lanka,Kennington Oval,4,878,43.90,,0,,,16,,,,30 years 283 days
25.0,03/09/2013,Scotland,Grange Cricket Club,10*,888,44.40,,0,,,16,,,,30 years 361 days
26.0,08/09/2013,England,Old Trafford,82,970,46.19,,0,,1,17,,,,31 years 1 days
27.0,11/09/2013,England,Edgbaston,-,970,46.19,,0,,1,18,,,,31 years 4 days
28.0,14/09/2013,England,Sophia Gardens,87,1057,48.05,,0,,,18,,,,31 years 7 days
29.0,16/09/2013,England,The Rose Bowl,4,1061,46.13,,0,,1,19,,,,31 years 9 days
30.0,13/10/2013,India,Maharashtra Cricket Association Stadium,85,1146,47.75,,0,,1,20,,,,31 years 36 days
31.0,16/10/2013,India,Sawai Mansingh Stadium,92*,1238,51.58,,0,,,20,,,,31 years 39 days
32.0,19/10/2013,India,Punjab Cricket Association IS Bindra Stadium,43,1281,51.24,,0,,1,21,,,,31 years 42 days
33.0,23/10/2013,India,JSCA International Stadium Complex,98,1379,53.04,,0,,,21,,,,31 years 46 days
34.0,30/10/2013,India,Vidarbha Cricket Association Stadium,156,1535,56.85,,0,,,21,,,,31 years 53 days
35.0,02/11/2013,India,M Chinnaswamy Stadium,4,1539,54.96,,0,,,21,,,,31 years 56 days
36.0,12/01/2014,England,Melbourne Cricket Ground,17*,1556,55.57,,0,,,21,,,,31 years 127 days
37.0,17/01/2014,England,Brisbane Cricket Ground,24,1580,54.48,,0,,1,22,,,,31 years 132 days
38.0,24/01/2014,England,WACA Ground,11,1591,53.03,,0,,,22,,,,31 years 139 days
39.0,26/01/2014,England,Adelaide Oval,56,1647,53.13,,0,,1,23,,,,31 years 141 days
40.0,25/08/2014,Zimbabwe,Harare Sports Club,14,1661,51.91,,0,,,23,,,,31 years 352 days
41.0,27/08/2014,South Africa,Harare Sports Club,66,1727,52.33,,0,,,23,,,,31 years 354 days
42.0,31/08/2014,Zimbabwe,Harare Sports Club,1,1728,50.82,,0,,,23,,,,31 years 358 days
43.0,02/09/2014,South Africa,Harare Sports Club,32,1760,50.29,,0,,1,24,,,,31 years 360 days
44.0,06/09/2014,South Africa,Harare Sports Club,12,1772,49.22,,0,,2,26,,,,31 years 364 days
45.0,07/10/2014,Pakistan,Sharjah Cricket Stadium,18,1790,48.38,,0,,,26,,,,32 years 30 days
46.0,10/10/2014,Pakistan,Dubai International Cricket Stadium,28,1818,47.84,,0,,,26,,,,32 years 33 days
47.0,12/10/2014,Pakistan,Sheikh Zayed Stadium,0,1818,46.62,,0,,,26,,,,32 years 35 days
48.0,14/11/2014,South Africa,WACA Ground,70,1888,47.20,,0,,,26,,,,32 years 68 days
49.0,16/11/2014,South Africa,WACA Ground,25,1913,46.66,,0,,,26,,,,32 years 70 days
50.0,19/11/2014,South Africa,Manuka Oval,12,1925,45.83,,0,,,26,,,,32 years 73 days
51.0,21/11/2014,South Africa,Melbourne Cricket Ground,16,1941,45.14,,0,,,26,,,,32 years 75 days
52.0,23/11/2014,South Africa,Sydney Cricket Ground,4,1945,44.20,,0,,2,28,,,,32 years 77 days
53.0,16/01/2015,England,Sydney Cricket Ground,10,1955,43.44,,0,,,28,,,,32 years 131 days
54.0,18/01/2015,India,Melbourne Cricket Ground,5,1960,42.61,,0,,1,29,,,,32 years 133 days
55.0,26/01/2015,India,Sydney Cricket Ground,-,1960,42.61,,0,,,29,,,,32 years 141 days
56.0,01/02/2015,England,WACA Ground,2,1962,41.74,,0,,1,30,,,,32 years 147 days
57.0,14/02/2015,England,Melbourne Cricket Ground,55,2017,42.02,,0,,1,31,,,,32 years 160 days
58.0,27/08/2015,Ireland,Civil Service Cricket Club,1,2018,41.18,,0,,,31,,,,32 years 354 days
59.0,03/09/2015,England,The Rose Bowl,23,2041,40.82,,0,,,31,,,,32 years 361 days
60.0,05/09/2015,England,Lord's,54,2095,41.08,,0,,,31,,,,32 years 363 days
61.0,08/09/2015,England,Old Trafford,25,2120,40.77,,0,,,31,,,,33 years 0 days
62.0,11/09/2015,England,Headingley,75,2195,41.42,,0,,,31,,,,33 years 3 days
63.0,12/09/2015,England,Old Trafford,41*,2236,42.19,,0,,,31,,,,33 years 4 days
64.0,12/01/2016,India,WACA Ground,112,2348,43.48,,0,,,31,,,,33 years 126 days
65.0,15/01/2016,India,Brisbane Cricket Ground,76*,2424,44.89,,0,,,31,,,,33 years 129 days
66.0,17/01/2016,India,Melbourne Cricket Ground,23,2447,44.49,,0,,1,32,,,,33 years 131 days
67.0,20/01/2016,India,Manuka Oval,10,2457,43.88,,0,,2,34,,,,33 years 134 days
68.0,23/01/2016,India,Sydney Cricket Ground,6,2463,43.21,,0,,,34,,,,33 years 137 days
69.0,03/02/2016,New Zealand,Eden Park,2,2465,42.50,,0,,,34,,,,33 years 148 days
70.0,06/02/2016,New Zealand,Westpac Stadium,0,2465,41.78,,0,,,34,,,,33 years 151 days
71.0,08/02/2016,New Zealand,Seddon Park,33,2498,41.63,,0,,,34,,,,33 years 153 days
72.0,11/06/2016,South Africa,Warner Park,11,2509,41.13,,0,,1,35,,,,33 years 277 days
73.0,13/06/2016,West Indies,Warner Park,55,2564,41.35,,0,,1,36,,,,33 years 279 days
74.0,19/06/2016,South Africa,Kensington Oval,-,2564,41.35,,0,,,36,,,,33 years 285 days
75.0,21/06/2016,West Indies,Kensington Oval,34,2598,41.24,,0,,,36,,,,33 years 287 days
76.0,26/06/2016,West Indies,Kensington Oval,22,2620,40.94,,0,,1,37,,,,33 years 292 days
77.0,21/08/2016,Sri Lanka,R Premadasa Stadium,39,2659,40.91,,0,,1,38,,,,33 years 348 days
78.0,24/08/2016,Sri Lanka,R Premadasa Stadium,27,2686,40.70,,0,,,38,,,,33 years 351 days
79.0,28/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,70,2756,41.13,,0,,2,40,,,,33 years 355 days
80.0,31/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,90*,2846,42.48,,0,,1,41,,,,33 years 358 days
81.0,04/09/2016,Sri Lanka,Pallekele International Cricket Stadium,44,2890,42.50,,0,,,41,,,,33 years 362 days
82.0,27/09/2016,Ireland,Willowmoore Park,-,2890,42.50,,0,,2,43,,,,34 years 20 days
