0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Afghanistan,1,1,0,0,0,0,23,23,23.00,143.75,0,0
England,21,20,3,0,8,0,87,770,45.29,81.31,9,0
India,13,12,2,2,4,0,156,710,71.00,110.42,6,0
Ireland,2,1,0,0,0,0,1,1,1.00,14.29,2,0
New Zealand,7,7,1,0,1,1,55,130,21.67,54.39,4,0
Pakistan,6,6,1,0,1,1,57*,143,28.60,60.85,2,0
Scotland,1,1,1,0,0,0,10*,10,,142.86,0,0
South Africa,15,14,0,0,3,0,74,362,25.86,82.84,7,0
Sri Lanka,11,11,1,0,3,1,90*,428,42.80,74.83,8,0
West Indies,11,10,1,1,2,0,125*,452,50.22,87.60,10,0
Zimbabwe,2,2,0,0,0,0,14,15,7.50,57.69,0,0
Overall (11),90,85,10,3,22,3,156,3044,40.59,83.51,48,0
