0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,54.5,7,251,11,0,3/21,22.82,29.91,4.58
AMI Stadium,9.0,1,41,1,0,1/41,41.00,54.00,4.56
Arnos Vale Ground,5.5,0,31,4,1,4/31,7.75,8.75,5.31
Bellerive Oval,22.0,0,84,1,0,1/25,84.00,132.00,3.82
Brabourne Stadium,16.0,1,64,5,0,3/22,12.80,19.20,4.00
Brisbane Cricket Ground,56.5,3,270,14,0,3/24,19.29,24.36,4.75
Captain Roop Singh Stadium,10.0,0,53,3,0,3/53,17.67,20.00,5.30
Darren Sammy National Cricket Stadium,7.0,2,15,1,0,1/15,15.00,42.00,2.14
Dubai International Cricket Stadium,17.3,3,49,0,0,0/24,,,2.80
Eden Gardens,8.0,1,15,1,0,1/15,15.00,48.00,1.88
Eden Park,18.0,1,106,4,0,2/40,26.50,27.00,5.89
Etihad Stadium,28.3,2,126,6,0,3/43,21.00,28.50,4.42
Indira Priyadarshini Stadium,7.0,1,21,2,0,2/21,10.50,21.00,3.00
Kennington Oval,10.0,0,48,0,0,0/48,,,4.80
Kensington Oval,6.0,1,34,1,0,1/34,34.00,36.00,5.67
Khan Shaheb Osman Ali Stadium,6.0,1,16,2,0,2/16,8.00,18.00,2.67
Kingsmead,16.0,2,72,3,0,2/36,24.00,32.00,4.50
Kinrara Academy Oval,22.3,2,92,6,0,3/16,15.33,22.50,4.09
Lord's,18.0,1,77,3,0,2/37,25.67,36.00,4.28
Marrara Cricket Ground,17.0,3,58,2,0,2/16,29.00,51.00,3.41
Melbourne Cricket Ground,86.3,11,330,14,1,4/29,23.57,37.07,3.82
Nahar Singh Stadium,9.0,2,25,3,0,3/25,8.33,18.00,2.78
National Cricket Stadium (Grenada),31.4,3,104,7,1,4/19,14.86,27.14,3.28
Nehru Stadium (Guwahati),7.3,0,34,3,0,3/34,11.33,15.00,4.53
Nehru Stadium (Margao),10.0,1,37,1,0,1/37,37.00,60.00,3.70
Nehru Stadium (Pune),20.0,4,93,2,0,2/54,46.50,60.00,4.65
Newlands,20.0,0,103,1,0,1/58,103.00,120.00,5.15
Punjab Cricket Association IS Bindra Stadium,17.0,3,92,4,0,2/36,23.00,25.50,5.41
Reliance Stadium,8.4,0,29,1,0,1/29,29.00,52.00,3.35
Sawai Mansingh Stadium,8.0,0,38,1,0,1/38,38.00,48.00,4.75
Sector 16 Stadium,10.0,0,78,1,0,1/78,78.00,60.00,7.80
Seddon Park,9.3,0,44,1,0,1/44,44.00,57.00,4.63
Sheikh Zayed Stadium,20.0,2,68,3,0,2/31,22.67,40.00,3.40
Sir Vivian Richards Stadium,23.0,2,78,6,0,3/33,13.00,23.00,3.39
St George's Park,18.2,1,104,2,0,1/40,52.00,55.00,5.67
SuperSport Park,12.0,1,50,1,0,1/27,50.00,72.00,4.17
Sydney Cricket Ground,110.4,9,545,22,2,5/47,24.77,30.18,4.92
The Rose Bowl,10.0,0,36,1,0,1/36,36.00,60.00,3.60
Trent Bridge,18.0,1,85,3,0,2/42,28.33,36.00,4.72
Vidarbha Cricket Association Ground,8.0,0,54,0,0,0/54,,,6.75
WACA Ground,47.0,7,247,7,0,3/21,35.29,40.29,5.26
Wanderers Stadium,20.0,1,121,7,1,5/67,17.29,17.14,6.05
Wankhede Stadium,20.0,5,59,6,1,4/29,9.83,20.00,2.95
Warner Park,37.0,2,154,5,0,2/33,30.80,44.40,4.16
Westpac Stadium,14.0,1,79,0,0,0/30,,,5.64
Zahur Ahmed Chowdhury Stadium,8.0,2,30,2,0,2/30,15.00,24.00,3.75
Overall (46),959.5,90,4240,174,7,5/47,24.37,33.10,4.42
