0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Bangladesh,19.0,2,46,5,0,2/12,9.20,22.80,2.42
England,25.0,0,134,2,0,1/21,67.00,75.00,5.36
ICC World XI,9.0,0,55,2,0,2/55,27.50,27.00,6.11
India,57.4,3,254,9,0,2/14,28.22,38.44,4.40
Ireland,8.0,1,19,1,0,1/19,19.00,48.00,2.38
New Zealand,55.0,4,278,16,2,4/54,17.38,20.63,5.05
Pakistan,21.1,2,86,3,0,1/15,28.67,42.33,4.06
South Africa,63.0,4,349,6,0,2/69,58.17,63.00,5.54
Sri Lanka,40.0,2,169,9,0,2/8,18.78,26.67,4.23
West Indies,7.0,0,87,0,0,0/87,,,12.43
Overall (10),304.5,18,1477,53,2,4/54,27.87,34.51,4.85
