0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,10.0,1,34,3,0,3/34,11.33,20.00,3.40
Brisbane Cricket Ground,9.0,0,55,2,0,2/55,27.50,27.00,6.11
Civil Service Cricket Club,4.4,0,13,3,0,3/13,4.33,9.33,2.79
Dubai International Cricket Stadium,10.0,1,53,3,0,3/53,17.67,20.00,5.30
Eden Gardens,10.0,0,51,3,0,3/51,17.00,20.00,5.10
Holkar Cricket Stadium,10.0,0,58,1,0,1/58,58.00,60.00,5.80
Kennington Oval,10.0,1,63,1,0,1/63,63.00,60.00,6.30
Kensington Oval,8.0,0,46,1,0,1/46,46.00,48.00,5.75
Lord's,8.0,1,50,1,0,1/50,50.00,48.00,6.25
M Chinnaswamy Stadium,20.0,0,136,2,0,2/56,68.00,60.00,6.80
MA Chidambaram Stadium,10.0,0,44,3,0,3/44,14.67,20.00,4.40
Melbourne Cricket Ground,13.0,0,67,2,0,1/16,33.50,39.00,5.15
Optus Stadium,3.0,0,26,1,0,1/26,26.00,18.00,8.67
Providence Stadium,10.0,2,38,2,0,2/38,19.00,30.00,3.80
Rajiv Gandhi International Stadium,9.0,2,46,2,0,2/46,23.00,27.00,5.11
Sharjah Cricket Stadium,17.0,0,113,4,0,2/52,28.25,25.50,6.65
Sophia Gardens,18.0,1,70,1,0,1/34,70.00,108.00,3.89
Sydney Cricket Ground,10.0,0,47,3,0,3/47,15.67,20.00,4.70
The Cooper Associates County Ground,9.0,0,53,1,0,1/53,53.00,54.00,5.89
The Rose Bowl,8.0,1,39,2,0,2/39,19.50,24.00,4.88
Trent Bridge,20.0,0,128,2,0,2/58,64.00,60.00,6.40
Vidarbha Cricket Association Stadium,17.2,0,94,2,0,1/42,47.00,52.00,5.42
WACA Ground,26.0,0,164,5,1,4/48,32.80,31.20,6.31
Warner Park,9.4,0,67,2,0,2/67,33.50,29.00,6.93
Overall (24),279.4,10,1555,52,1,4/48,29.90,32.27,5.56
