0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,10/02/2013,West Indies,Melbourne Cricket Ground,,1.0,0/2,,,2.00,,
2.0,13/10/2013,India,Maharashtra Cricket Association Stadium,B Kumar (c A C Voges),0.4,1/2,,10.00,2.40,1,4.00
3.0,30/10/2013,India,Vidarbha Cricket Association Stadium,R G Sharma (c J P Faulkner),4.0,1/20,,17.00,4.24,2,12.00
4.0,02/11/2013,India,M Chinnaswamy Stadium,,1.0,0/2,,20.00,3.90,,13.00
5.0,31/08/2014,Zimbabwe,Harare Sports Club,,2.0,0/19,,26.00,5.19,,22.50
6.0,01/02/2015,England,WACA Ground,,0.3,0/3,,27.50,5.24,,24.00
7.0,07/06/2016,South Africa,Providence Stadium,,3.0,0/11,,36.50,4.85,,29.50
8.0,11/06/2016,South Africa,Warner Park,,2.0,0/13,,42.50,5.08,,36.00
9.0,21/06/2016,West Indies,Kensington Oval,,3.0,0/16,,51.50,5.13,,44.00
10.0,24/08/2016,Sri Lanka,R Premadasa Stadium,,2.0,0/7,,57.50,4.96,,47.50
11.0,28/09/2017,India,M Chinnaswamy Stadium,,0.1,0/1,,58.00,4.97,,48.00
12.0,01/10/2017,India,Vidarbha Cricket Association Stadium,,3.0,0/17,,67.00,5.06,,56.50
13.0,18/01/2018,England,Brisbane Cricket Ground,,3.0,0/17,,76.00,5.13,,65.00
14.0,19/06/2018,England,Trent Bridge,,1.0,0/7,,79.00,5.20,,68.50
15.0,10/03/2019,India,Punjab Cricket Association IS Bindra Stadium,,3.0,0/22,,88.00,5.42,,79.50
16.0,23/03/2019,Pakistan,Sharjah Cricket Stadium,Haris Sohail (c †A T Carey),10.0,1/41,,78.67,5.08,3,66.67
17.0,29/03/2019,Pakistan,Dubai International Cricket Stadium,,2.0,0/19,,82.67,5.30,,73.00
18.0,12/06/2019,Pakistan,The Cooper Associates County Ground,Mohammad Hafeez (c M A Starc),2.0,1/13,,65.00,5.35,4,58.00
19.0,29/06/2019,New Zealand,Lord's,,1.0,0/7,,66.50,5.39,,59.75
