0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,18/01/2009,South Africa,Bellerive Oval,c J-P Duminy b M Ntini,7,10,70.00,,7,7.00,70.00
2,26/01/2010,Pakistan,Adelaide Oval,did not bat,-,-,-,,7,7.00,70.00
3,29/01/2010,Pakistan,WACA Ground,c Shahid Afridi b Mohammad Asif,4,3,133.33,,11,5.50,84.62
4,31/01/2010,Pakistan,WACA Ground,not out,2*,2,100.00,,13,6.50,86.67
5,07/02/2010,West Indies,Melbourne Cricket Ground,not out,2*,1,200.00,,15,7.50,93.75
6,12/02/2010,West Indies,Sydney Cricket Ground,c K A Pollard b R Rampaul,21,9,233.33,,36,12.00,144.00
7,14/02/2010,West Indies,Brisbane Cricket Ground,not out,0*,0,-,,36,12.00,144.00
8,19/02/2010,West Indies,Melbourne Cricket Ground,did not bat,-,-,-,,36,12.00,144.00
9,03/03/2010,New Zealand,McLean Park,not out,0*,0,-,,36,12.00,144.00
10,06/03/2010,New Zealand,Eden Park,did not bat,-,-,-,,36,12.00,144.00
11,09/03/2010,New Zealand,Seddon Park,did not bat,-,-,-,,36,12.00,144.00
12,11/03/2010,New Zealand,Eden Park,did not bat,-,-,-,,36,12.00,144.00
13,17/06/2010,Ireland,Castle Avenue,c J F Mooney b A R Cusack,6,8,75.00,,42,10.50,127.27
14,22/06/2010,England,The Rose Bowl,not out,0*,0,-,,42,10.50,127.27
15,27/06/2010,England,Old Trafford,c A J Strauss b S C J Broad,1,2,50.00,,43,8.60,122.86
16,30/06/2010,England,Kennington Oval,did not bat,-,-,-,,43,8.60,122.86
17,03/07/2010,England,Lord's,not out,0*,0,-,,43,8.60,122.86
18,05/02/2012,India,Melbourne Cricket Ground,did not bat,-,-,-,,43,8.60,122.86
19,10/02/2012,Sri Lanka,WACA Ground,c K M D N Kulasekara b S M S M Senanayake,3,9,33.33,,46,7.67,104.55
20,12/02/2012,India,Adelaide Oval,not out,2*,4,50.00,,48,8.00,100.00
21,24/02/2012,Sri Lanka,Bellerive Oval,did not bat,-,-,-,,48,8.00,100.00
No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,,
