0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,4.0,0,22,0,0,,,,5.50
Brisbane Cricket Ground,17.0,0,83,0,0,0/28,,,4.88
Eden Gardens,2.0,0,11,0,0,0/11,,,5.50
Eden Park,5.0,0,21,1,0,1/21,21.00,30.00,4.20
Edgbaston,6.0,0,31,0,0,0/9,,,5.17
Kennington Oval,8.0,0,33,1,0,1/33,33.00,48.00,4.13
Kingsmead,3.0,0,31,1,0,1/31,31.00,18.00,10.33
M Chinnaswamy Stadium,6.0,0,38,0,0,0/38,,,6.33
Manuka Oval,7.0,0,31,0,0,0/31,,,4.43
Melbourne Cricket Ground,10.3,0,66,2,0,2/37,33.00,31.50,6.29
Newlands,8.0,0,49,0,0,0/49,,,6.13
Pallekele International Cricket Stadium,5.0,0,22,2,0,2/22,11.00,15.00,4.40
R Premadasa Stadium,8.0,0,59,0,0,0/18,,,7.38
Rangiri Dambulla International Stadium,2.0,0,5,1,0,1/5,5.00,12.00,2.50
SuperSport Park,2.0,0,16,0,0,0/16,,,8.00
Sydney Cricket Ground,10.0,0,66,2,0,2/66,33.00,30.00,6.60
Vidarbha Cricket Association Stadium,6.0,0,38,0,0,0/38,,,6.33
WACA Ground,10.0,0,65,2,0,2/65,32.50,30.00,6.50
Wanderers Stadium,2.0,0,21,0,0,0/21,,,10.50
Warner Park,6.0,0,29,0,0,0/29,,,4.83
Overall (20),127.3,0,737,12,0,2/22,61.42,63.75,5.78
