0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,3,3,0,1,1,0,128,232,77.33,92.43,2,0
Bellerive Oval,1,1,0,0,0,0,6,6,6.00,28.57,0,0
Brisbane Cricket Ground,2,2,0,0,0,0,39,46,23.00,80.70,1,0
Manuka Oval,1,1,0,0,1,0,57,57,57.00,178.13,0,0
Melbourne Cricket Ground,3,3,0,0,0,0,37,71,23.67,65.14,1,0
Optus Stadium,2,2,0,0,0,0,22,23,11.50,58.97,0,0
Sydney Cricket Ground,2,2,0,0,2,0,52,103,51.50,107.29,0,0
WACA Ground,1,1,1,0,0,0,23*,23,,92.00,1,0
,,,,,,,,,,,,
