0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,9,2,1,0,0,0,4,4,4.00,44.44,12,2
AMI Stadium,3,3,0,0,0,0,25,46,15.33,82.14,3,0
Arnos Vale Ground,1,1,0,0,0,0,12,12,12.00,63.16,1,1
Basin Reserve,2,2,0,0,0,0,18,19,9.50,31.67,1,2
Bellerive Oval,6,4,0,0,0,1,24,50,12.50,80.65,10,1
Bourda,2,1,0,0,0,0,36,36,36.00,102.86,1,0
Brabourne Stadium,1,1,0,0,0,0,7,7,7.00,50.00,1,0
Brisbane Cricket Ground,8,5,1,0,0,1,41,89,22.25,71.77,7,0
Buffalo Park,1,0,0,0,0,0,0,0,,,1,3
Carisbrook,2,1,1,0,0,0,21*,21,,175.00,4,1
Eden Park,6,4,3,0,0,0,36*,64,64.00,98.46,11,2
Edgbaston,1,0,0,0,0,0,0,0,,,2,0
Gaddafi Stadium,3,3,1,0,0,0,18*,21,10.50,80.77,2,0
Headingley,1,1,0,0,0,0,17,17,17.00,51.52,1,0
Ibn-e-Qasim Bagh Stadium,1,0,0,0,0,0,0,0,,,3,0
Indira Priyadarshini Stadium,1,1,0,0,0,0,17,17,17.00,154.55,1,1
Iqbal Stadium,1,1,0,0,0,0,4,4,4.00,80.00,0,3
Kennington Oval,1,1,0,0,0,0,7,7,7.00,100.00,0,0
Kensington Oval,2,2,1,0,0,1,6*,6,6.00,100.00,2,0
Kingsmead,2,2,0,0,0,1,19,19,9.50,59.38,1,0
Lal Bahadur Shastri Stadium,1,0,0,0,0,0,0,0,,,0,0
Lord's,2,2,1,0,0,0,27,39,39.00,95.12,2,1
M Chinnaswamy Stadium,2,2,1,0,0,0,14*,22,22.00,115.79,1,0
MA Chidambaram Stadium,2,1,0,0,0,0,2,2,2.00,50.00,2,0
Mangaung Oval,1,1,1,0,0,0,41*,41,,136.67,0,0
Melbourne Cricket Ground,29,18,8,0,3,2,56,310,31.00,91.45,46,4
Nehru Stadium (Indore),1,1,0,0,0,0,11,11,11.00,45.83,1,0
Nehru Stadium (Margao),1,1,0,0,0,0,3,3,3.00,42.86,0,0
Newlands,2,2,0,0,0,0,26,51,25.50,72.86,1,1
Old Trafford,2,2,0,0,0,0,20,30,15.00,73.17,1,0
P Sara Oval,2,1,0,0,0,0,28,28,28.00,103.70,1,1
Punjab Cricket Association IS Bindra Stadium,2,2,0,0,0,0,31,33,16.50,110.00,2,1
Queen's Park Oval,4,4,2,0,1,0,51,100,50.00,103.09,6,0
R Premadasa Stadium,6,5,0,0,0,0,20,54,10.80,83.08,5,0
Rawalpindi Cricket Stadium,1,1,0,0,0,0,16,16,16.00,123.08,0,0
Sabina Park,1,0,0,0,0,0,0,0,,,2,0
Sawai Mansingh Stadium,1,1,0,0,0,0,3,3,3.00,75.00,1,0
Seddon Park,2,1,0,0,0,0,1,1,1.00,33.33,4,0
Sharjah Cricket Stadium,4,2,1,0,0,0,34,46,46.00,106.98,8,1
Sinhalese Sports Club Ground,2,2,1,0,0,0,30*,34,34.00,50.00,2,1
St George's Park,2,2,1,0,0,0,5,6,6.00,27.27,2,0
SuperSport Park,2,2,1,0,0,0,9*,13,13.00,100.00,2,1
Sydney Cricket Ground,28,21,6,0,0,2,48,339,22.60,87.60,24,8
Trent Bridge,1,1,1,0,0,0,26*,26,,92.86,0,1
Vidarbha Cricket Association Ground,1,0,0,0,0,0,0,0,,,2,1
WACA Ground,9,7,2,0,0,1,40,104,20.80,76.47,13,1
Wanderers Stadium,2,2,2,0,0,0,4*,7,,100.00,1,0
Wankhede Stadium,1,1,0,0,0,0,6,6,6.00,60.00,1,1
Overall (48),168,120,36,0,4,9,56,1764,21.00,83.84,194,39
