0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,01/03/2005,New Zealand,Basin Reserve,C D McMillan (lbw),10.0,1/38,,60.00,3.80,1,38.00
2.0,13/01/2006,Sri Lanka,Etihad Stadium,D P M D Jayawardene (c & b),9.0,1/35,,57.00,3.84,2,36.50
3.0,15/01/2006,South Africa,Brisbane Cricket Ground,,8.0,0/44,,81.00,4.33,,58.50
4.0,20/01/2006,South Africa,Etihad Stadium,,7.0,0/28,,102.00,4.26,,72.50
5.0,22/01/2006,Sri Lanka,Sydney Cricket Ground,,6.0,0/65,,120.00,5.25,,105.00
6.0,03/02/2006,South Africa,Etihad Stadium,H H Gibbs (b),6.0,1/16,,92.00,4.91,3,75.33
7.0,05/02/2006,South Africa,Sydney Cricket Ground,,5.0,0/35,,102.00,5.12,,87.00
8.0,28/04/2006,Bangladesh,Khan Shaheb Osman Ali Stadium,Mohammad Ashraful (c D J Cullen),5.0,1/8,,84.00,4.80,4,67.25
9.0,02/10/2007,India,Nehru Stadium (Kochi),Yuvraj Singh (c M L Hayden),7.0,1/33,,75.60,4.79,5,60.40
10.0,05/10/2007,India,Rajiv Gandhi International Stadium,R G Sharma (c B Lee),10.0,1/43,,73.00,4.73,6,57.50
11.0,08/10/2007,India,Sector 16 Stadium,S C Ganguly (c †A C Gilchrist),9.0,2/43,,61.50,4.73,7,48.50
,,,,Yuvraj Singh (c R T Ponting),,,,,,8,
12.0,11/10/2007,India,Reliance Stadium,,3.0,0/13,,63.75,4.72,,50.13
13.0,14/10/2007,India,Vidarbha Cricket Association Ground,S R Tendulkar (st †A C Gilchrist),4.0,1/30,,59.33,4.84,9,47.89
14.0,17/10/2007,India,Wankhede Stadium,I K Pathan (c M J Clarke),5.0,1/13,,56.40,4.72,10,44.40
15.0,14/12/2007,New Zealand,Adelaide Oval,M S Sinclair (c G B Hogg),10.0,1/40,,56.73,4.65,11,44.00
16.0,20/12/2007,New Zealand,Bellerive Oval,M S Sinclair (lbw),6.0,2/17,,50.77,4.55,12,38.54
,,,,J D P Oram (c B Lee),,,,,,13,
17.0,03/02/2008,India,Brisbane Cricket Ground,,6.0,0/17,,53.54,4.47,,39.85
18.0,08/02/2008,Sri Lanka,Sydney Cricket Ground,,5.0,0/15,,55.85,4.40,,41.00
19.0,15/02/2008,Sri Lanka,WACA Ground,C K Kapugedera (c M E K Hussey),9.0,1/26,,55.71,4.30,14,39.93
20.0,17/02/2008,India,Adelaide Oval,I K Pathan (c M L Hayden),6.0,2/16,,51.00,4.23,15,35.94
,,,,R G Sharma (c †A C Gilchrist),,,,,,16,
