0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Afghanistan,2.0,0,8,0,0,0/8,,,4.00
Bangladesh,4.5,0,16,1,0,1/16,16.00,29.00,3.31
England,34.5,0,201,7,1,4/21,28.71,29.86,5.77
India,10.0,0,39,1,0,1/19,39.00,60.00,3.90
New Zealand,9.0,0,43,1,0,1/9,43.00,54.00,4.78
Pakistan,6.0,0,29,0,0,,,,4.83
Scotland,2.0,0,6,1,0,1/6,6.00,12.00,3.00
South Africa,25.0,0,145,0,0,,,,5.80
Sri Lanka,29.0,0,151,6,1,4/43,25.17,29.00,5.21
West Indies,7.0,0,48,0,0,,,,6.86
Zimbabwe,4.0,1,12,1,0,1/12,12.00,24.00,3.00
Overall (11),133.4,1,698,18,2,4/21,38.78,44.56,5.22
